;True;Predicted
0;2;2
1;0;0
2;0;3
3;0;0
4;0;0
5;3;3
6;3;3
7;3;3
8;0;1
9;3;3
10;1;1
11;1;1
12;2;2
13;3;3
14;2;2
15;0;0
16;1;1
17;1;1
18;1;1
19;1;1
20;0;3
21;0;0
22;1;1
23;2;2
24;1;1
25;3;3
26;0;0
27;3;3
28;0;3
29;3;3
30;0;0
31;3;3
32;1;1
33;3;3
34;2;2
35;3;3
36;2;2
37;2;2
38;3;3
39;0;1
40;3;3
41;0;0
42;0;0
43;0;0
44;3;3
45;2;3
46;3;3
47;0;0
48;3;3
49;1;1
50;3;3
51;1;1
52;1;1
53;1;1
54;1;1
55;2;2
56;2;2
57;1;1
58;3;0
59;2;2
60;0;0
61;3;3
62;1;1
63;3;3
64;0;0
65;1;1
66;3;2
67;1;1
68;3;3
69;3;3
70;1;1
71;3;3
72;2;2
73;2;2
74;2;2
75;2;2
76;1;1
77;1;1
78;3;3
79;0;1
80;1;1
81;0;1
82;0;0
83;3;3
84;2;1
85;1;1
86;0;0
87;2;2
88;2;2
89;0;0
90;1;1
91;1;1
92;3;3
93;3;3
94;1;1
95;1;1
96;3;3
97;1;1
98;1;1
99;1;1
100;3;3
101;1;1
102;1;1
103;1;1
104;2;2
105;3;3
106;2;2
107;0;0
108;1;1
109;1;1
110;3;3
111;0;0
112;2;2
113;3;3
114;0;0
115;2;2
116;1;1
117;1;1
118;3;3
119;1;1
120;3;3
121;1;1
122;2;2
123;1;1
124;3;3
125;1;1
126;1;1
127;0;0
128;1;1
129;1;1
130;3;3
131;0;0
132;1;1
133;3;3
134;1;1
135;0;0
136;0;0
137;3;3
138;1;1
139;1;1
140;2;2
141;2;2
142;1;1
143;1;1
144;3;3
145;2;2
146;1;1
147;3;3
148;0;0
149;3;3
150;3;3
151;0;0
152;3;2
153;0;0
154;0;0
155;3;3
156;3;3
157;3;3
158;0;0
159;2;2
160;3;3
161;3;2
162;3;3
163;3;3
164;3;3
165;1;1
166;2;3
167;3;3
168;3;3
169;2;2
170;1;1
171;0;0
172;1;1
173;1;1
174;2;2
175;3;3
176;1;1
177;3;3
178;1;1
179;2;2
180;0;0
181;3;3
182;1;1
183;3;3
184;1;1
185;2;2
186;3;3
187;1;1
188;3;2
189;3;3
190;3;3
191;1;1
192;1;1
193;2;2
194;1;1
195;2;2
196;1;1
197;3;3
198;1;1
199;2;2
200;3;3
201;1;1
202;3;3
203;1;1
204;3;3
205;2;2
206;0;0
207;3;3
208;2;3
209;3;3
210;3;3
211;0;0
212;1;1
213;0;0
214;3;3
215;2;2
216;2;2
217;3;3
218;0;0
219;1;1
220;3;3
221;3;3
222;3;3
223;2;2
224;3;0
225;0;0
226;1;1
227;3;3
228;3;3
229;3;3
230;1;1
231;1;1
232;3;3
233;1;1
234;0;0
235;0;0
236;1;1
237;3;3
238;2;2
239;1;2
240;1;1
241;3;3
242;1;0
243;2;2
244;3;3
245;1;1
246;2;2
247;1;1
248;3;3
249;3;3
250;0;0
251;1;1
252;1;1
253;1;1
254;3;3
255;3;3
256;3;3
257;3;3
258;2;2
259;1;1
260;1;1
261;2;2
262;2;2
263;3;3
264;1;1
265;1;1
266;2;2
267;0;0
268;1;1
269;1;1
270;3;3
271;3;3
272;1;1
273;1;1
274;1;1
275;1;1
276;0;0
277;0;0
278;2;2
279;0;0
280;0;0
281;3;3
282;3;3
283;3;2
284;2;2
285;0;0
286;2;2
287;0;0
288;0;0
289;3;3
290;3;2
291;1;1
292;2;2
293;1;1
294;1;1
295;2;2
296;2;2
297;0;0
298;2;2
299;2;2
300;1;1
301;3;3
302;1;1
303;1;1
304;2;2
305;0;0
306;0;0
307;3;3
308;2;2
309;0;0
310;2;2
311;0;0
312;3;3
313;2;2
314;3;3
315;0;0
316;3;3
317;0;0
318;1;1
319;1;1
320;3;3
321;0;0
322;1;1
323;0;0
324;3;3
325;1;1
326;1;2
327;3;3
328;1;0
329;2;2
330;3;3
331;3;3
332;0;0
333;1;1
334;3;3
335;0;0
336;1;1
337;3;3
338;2;2
339;0;0
340;2;2
341;0;0
342;0;0
343;2;2
344;3;3
345;0;0
346;1;1
347;1;1
348;3;3
349;3;3
350;0;0
351;1;1
352;1;1
353;1;1
354;3;3
355;0;0
356;3;3
357;3;3
358;0;0
359;3;3
360;1;1
361;1;0
362;2;3
363;1;1
364;2;2
365;2;2
366;3;3
367;3;3
368;1;1
369;0;1
370;1;1
371;0;0
372;2;2
373;0;0
374;2;2
375;1;1
376;3;3
377;1;1
378;1;1
379;1;1
380;2;2
381;1;1
382;3;3
383;0;0
384;2;2
385;3;3
386;1;1
387;3;3
388;3;3
389;3;2
390;3;3
391;3;3
392;2;2
