;True;Predicted
0;3;3
1;1;1
2;3;3
3;3;3
4;3;3
5;1;1
6;1;1
7;1;1
8;2;2
9;1;1
10;1;1
11;1;1
12;1;1
13;1;1
14;2;2
15;3;3
16;3;3
17;3;3
18;3;3
19;3;3
20;1;1
21;1;1
22;0;0
23;0;0
24;3;3
25;3;3
26;1;1
27;0;0
28;1;1
29;3;3
30;2;2
31;1;1
32;3;3
33;3;3
34;1;1
35;0;0
36;2;2
37;2;2
38;2;2
39;1;1
40;3;3
41;2;2
42;1;1
43;1;1
44;3;3
45;3;3
46;2;2
47;1;1
48;2;2
49;1;1
50;3;3
51;3;3
52;3;3
53;1;1
54;0;0
55;3;3
56;1;1
57;3;3
58;3;3
59;3;3
60;0;0
61;3;2
62;2;2
63;3;3
64;3;3
65;3;3
66;1;1
67;0;0
68;0;0
69;1;1
70;3;3
71;3;3
72;1;1
73;2;2
74;3;3
75;1;1
76;3;3
77;3;3
78;3;3
79;3;3
80;1;1
81;0;0
82;1;1
83;2;2
84;3;3
85;1;1
86;2;1
87;2;2
88;3;3
89;3;3
90;3;3
91;3;3
92;3;3
93;3;3
94;0;0
95;3;3
96;0;0
97;2;2
98;1;1
99;3;3
100;2;2
101;1;2
102;1;1
103;3;3
104;1;1
105;1;1
106;1;1
107;1;1
108;1;1
109;1;1
110;3;3
111;0;0
112;2;2
113;1;1
114;2;2
115;1;1
116;3;3
117;3;3
118;3;3
119;3;3
120;0;0
121;1;1
122;1;1
123;1;1
124;1;1
125;2;2
126;1;1
127;3;3
128;3;3
129;1;1
130;1;1
131;3;3
132;1;1
133;1;1
134;1;1
135;3;3
136;3;3
137;1;1
138;1;1
139;0;0
140;3;3
141;2;2
142;0;0
143;1;1
144;0;0
145;0;0
146;1;1
147;1;1
148;1;1
149;2;2
150;2;2
151;3;3
152;3;3
153;0;0
154;0;0
155;2;2
156;3;3
157;0;0
158;0;0
159;3;3
160;0;0
161;0;0
162;0;0
163;1;1
164;1;1
165;1;1
166;1;1
167;1;1
168;1;1
169;0;0
170;3;3
171;0;0
172;3;3
173;1;1
174;2;2
175;1;1
176;3;0
177;2;3
178;2;2
179;0;0
180;1;1
181;0;0
182;1;1
183;3;3
184;3;3
185;3;3
186;3;3
187;3;3
188;3;3
189;3;3
190;1;1
191;0;0
192;2;2
193;3;3
194;0;0
195;2;2
196;2;2
197;1;1
198;1;1
199;0;0
200;0;0
201;3;3
202;0;0
203;0;0
204;2;3
205;0;0
206;3;3
207;1;1
208;1;1
209;3;3
210;2;3
211;1;1
212;1;1
213;1;1
214;3;3
215;3;3
216;1;1
217;3;3
218;1;1
219;1;1
220;3;3
221;3;3
222;0;0
223;2;2
224;3;3
225;1;2
226;0;0
227;3;3
228;0;0
229;3;3
230;3;3
231;3;3
232;0;0
233;0;0
234;3;3
235;2;2
236;2;2
237;2;2
238;3;3
239;1;1
240;3;3
241;1;1
242;1;1
243;1;2
244;1;1
245;1;1
246;1;1
247;1;1
248;2;2
249;1;1
250;1;1
251;0;0
252;3;3
253;1;1
254;2;2
255;1;1
256;1;1
257;1;1
258;0;0
259;3;3
260;1;1
261;3;3
262;1;1
263;2;2
264;2;2
265;3;3
266;0;0
267;0;0
268;1;1
269;1;1
270;3;3
271;1;1
272;2;2
273;3;3
274;1;1
275;1;1
276;2;2
277;3;3
278;1;1
279;2;2
280;1;1
281;1;1
282;0;0
283;3;3
284;3;2
285;1;1
286;0;0
287;0;0
288;3;3
289;2;2
290;1;1
291;1;1
292;3;3
293;3;3
294;1;1
295;2;2
296;1;1
297;3;3
298;2;2
299;0;0
300;2;2
301;0;0
302;1;1
303;1;1
304;1;1
305;1;1
306;0;0
307;0;0
308;1;1
309;0;0
310;1;1
311;1;1
312;1;1
313;3;3
314;3;3
315;0;0
316;1;1
317;3;3
318;1;1
319;3;2
320;3;3
321;2;2
322;0;0
323;1;1
324;0;0
325;0;0
326;0;0
327;3;3
328;2;2
329;2;2
330;3;3
331;2;2
332;2;2
333;2;2
334;0;3
335;1;1
336;0;0
337;3;3
338;3;3
339;2;2
340;1;1
341;1;1
342;3;3
343;1;1
344;3;3
345;2;2
346;1;1
347;2;2
348;1;0
349;3;3
350;0;0
351;2;1
352;1;1
353;3;3
354;1;1
355;2;2
356;2;2
357;2;2
358;1;1
359;1;0
360;0;0
361;1;1
362;3;3
363;3;3
364;1;1
365;0;0
366;1;1
367;1;1
368;0;0
369;0;0
370;3;3
371;3;3
372;0;0
373;3;3
374;2;2
375;0;0
376;3;3
377;1;1
378;0;0
379;0;0
380;1;1
381;1;1
382;1;1
383;1;1
384;1;1
385;0;0
386;1;1
387;0;0
388;3;3
389;2;2
390;3;3
391;2;2
392;2;2
393;3;3
394;1;1
395;0;0
396;2;2
397;0;0
398;1;1
399;2;2
400;1;1
401;3;3
402;1;1
403;3;3
404;0;0
405;0;0
406;1;1
407;2;2
408;2;2
409;1;1
410;3;3
411;0;0
412;3;3
413;0;0
414;2;2
415;0;1
416;0;0
417;1;1
418;0;0
419;0;0
420;1;1
421;1;1
422;3;3
423;2;2
424;2;2
425;3;3
426;1;1
427;2;2
428;3;3
429;3;3
430;2;2
431;2;3
432;3;3
433;1;1
434;3;3
435;2;2
436;3;3
437;1;1
438;2;2
439;0;0
440;0;0
441;3;3
442;1;1
443;3;3
444;0;0
445;3;3
446;3;3
447;3;3
448;0;0
449;3;3
450;2;2
451;3;3
452;1;1
453;1;1
454;1;1
455;0;0
456;1;1
457;1;1
458;3;3
459;2;2
460;1;1
461;3;3
462;1;1
463;0;0
464;3;3
465;1;1
466;0;0
467;0;0
468;1;1
469;3;3
470;2;2
471;1;1
472;1;1
473;3;3
474;2;1
475;3;3
476;3;3
477;1;1
478;1;0
479;1;1
480;3;3
481;1;1
482;3;3
483;2;2
484;0;0
485;1;1
486;1;1
487;3;3
488;3;3
489;3;3
490;3;3
491;1;1
492;2;2
493;1;1
494;3;3
495;2;2
496;0;0
497;2;2
498;1;1
499;1;1
500;1;2
501;3;3
502;1;1
503;3;3
504;1;1
505;3;3
506;0;0
507;3;3
508;1;1
509;1;1
510;0;3
511;2;2
512;0;0
513;3;3
514;1;1
515;1;1
516;3;3
517;0;0
518;3;3
519;2;2
520;3;2
521;0;0
522;2;2
523;0;3
524;1;1
525;0;0
526;2;2
527;0;0
528;1;1
529;0;0
530;1;1
531;1;1
532;3;3
533;1;1
534;0;0
535;1;1
536;1;1
537;2;2
538;3;0
539;1;1
540;3;3
541;2;2
542;2;2
543;3;3
544;1;1
545;3;3
546;3;3
547;3;3
548;3;3
549;0;0
550;0;0
551;2;2
552;3;3
553;0;0
554;1;1
555;0;3
556;1;1
557;1;1
558;2;2
559;1;1
560;3;3
561;0;0
562;3;3
563;2;2
564;1;1
565;1;1
566;3;3
567;3;3
568;3;3
569;3;3
570;0;3
571;0;0
572;3;3
573;0;0
574;0;0
575;1;1
576;1;1
577;0;0
578;3;3
579;3;3
580;1;1
581;3;3
582;1;1
583;0;0
584;0;0
585;3;2
586;2;2
587;1;1
588;0;0
589;2;2
590;2;2
591;1;1
592;3;3
593;1;1
594;1;1
595;2;2
596;3;3
597;1;1
598;3;3
599;3;3
600;0;0
601;3;3
602;1;1
603;1;1
604;1;0
605;0;0
606;0;0
607;0;0
608;2;2
609;2;2
610;1;1
611;3;3
612;1;1
613;1;1
614;1;1
615;0;0
616;3;3
617;1;1
618;2;2
619;3;3
620;3;3
621;3;3
622;1;1
623;1;1
624;1;1
625;3;3
626;0;1
627;1;1
628;2;2
629;0;0
630;3;3
631;1;1
632;3;3
633;3;3
634;1;1
635;0;0
636;1;1
637;3;3
638;1;1
639;2;2
640;1;1
641;2;2
642;3;3
643;2;2
644;1;1
645;1;1
646;0;0
647;1;1
648;2;2
649;1;1
650;1;1
651;1;1
652;3;3
653;0;0
654;2;2
655;0;0
656;0;0
657;0;0
658;2;2
659;0;3
660;0;0
661;2;2
662;2;2
663;2;2
664;0;3
665;3;3
666;3;3
667;1;1
668;3;2
669;3;3
670;0;0
671;1;1
672;1;1
673;2;2
674;1;1
675;2;1
676;3;3
677;3;3
678;1;1
679;1;1
680;2;2
681;0;0
682;0;0
683;2;2
684;1;1
685;3;3
686;1;1
687;1;1
688;3;3
689;1;1
690;3;3
691;3;3
692;3;3
693;1;1
694;2;2
695;1;1
696;1;1
697;1;1
698;3;3
699;1;1
700;2;2
701;1;1
702;1;1
703;1;1
704;1;1
705;3;3
706;1;1
707;1;1
708;3;3
709;0;0
710;1;1
711;3;3
712;2;2
713;3;3
714;0;0
715;3;3
716;0;0
717;1;1
718;3;3
719;0;0
720;1;1
721;3;3
722;3;3
723;2;2
724;1;1
725;3;3
726;3;3
727;2;2
728;0;0
729;1;1
730;3;3
731;1;1
732;2;2
733;1;1
734;3;3
735;0;0
736;2;2
737;3;3
738;1;1
739;1;1
740;1;2
741;3;0
742;1;1
743;1;1
744;1;1
745;1;1
746;2;3
747;1;1
748;3;3
749;0;0
750;1;1
751;3;3
752;1;1
753;3;3
754;1;1
755;3;3
756;0;0
757;0;0
758;1;1
759;0;0
760;3;3
761;3;3
762;1;1
763;3;3
764;3;3
765;0;0
766;1;1
767;2;2
768;1;1
769;3;3
770;0;0
771;0;0
772;1;1
773;1;1
774;3;3
775;1;1
776;2;2
777;1;1
778;1;1
779;1;1
780;3;3
781;2;2
782;0;1
783;0;0
784;2;2
785;0;0
786;1;1
787;0;0
788;1;1
789;1;1
790;1;1
791;2;2
792;2;2
793;2;2
794;1;1
795;1;1
796;0;0
797;1;1
798;1;1
799;0;0
800;0;0
801;2;2
802;3;3
803;1;1
804;3;3
805;2;2
806;1;1
807;3;3
808;2;2
809;0;0
810;0;0
811;2;2
812;0;0
813;3;3
814;2;2
815;0;0
816;1;1
817;3;3
818;2;2
819;1;1
820;1;1
821;0;0
822;3;3
823;3;3
824;2;2
825;1;1
826;1;1
827;0;0
828;3;3
829;3;3
830;2;2
831;3;3
832;3;3
833;1;1
834;1;1
835;1;1
836;1;1
837;2;2
838;3;3
839;1;1
840;3;3
841;3;3
842;3;3
843;3;3
844;3;3
845;3;3
846;1;1
847;2;2
848;1;1
849;0;0
850;3;3
851;3;3
852;3;3
853;3;3
854;0;0
855;0;0
856;2;2
857;1;1
858;1;1
859;1;1
860;1;1
861;1;1
862;3;3
863;2;2
864;1;1
865;3;3
866;2;2
867;2;2
868;0;0
869;3;3
870;3;3
871;0;0
872;1;1
873;3;3
874;0;0
875;3;3
876;2;2
877;1;1
878;0;0
879;1;1
880;1;1
881;1;1
882;1;1
883;1;1
884;1;1
885;3;2
886;1;1
887;3;3
888;3;3
889;1;1
890;0;0
891;2;2
892;3;3
893;2;2
894;2;2
895;1;1
896;3;3
897;1;2
898;3;3
899;3;3
900;0;3
901;1;1
902;3;3
903;2;2
904;1;1
905;3;3
906;3;3
907;1;1
908;1;1
909;1;1
910;1;1
911;3;3
912;3;3
913;3;3
914;1;1
915;3;3
916;1;1
917;2;2
918;1;1
919;1;1
920;0;0
921;1;1
922;3;3
923;3;3
924;3;3
925;1;1
926;1;1
927;0;0
928;0;0
929;1;1
930;1;2
931;3;3
932;1;1
933;1;1
934;1;1
935;1;1
936;3;3
937;3;3
938;0;0
939;2;2
940;1;1
941;2;2
942;1;1
943;2;2
944;1;1
945;0;0
946;1;0
947;1;1
948;2;2
949;1;1
950;2;2
951;2;2
952;1;1
953;0;0
954;0;0
955;2;2
956;2;2
957;3;3
958;3;3
959;0;0
960;3;3
961;2;2
962;3;3
963;0;0
964;1;1
965;1;1
966;3;3
967;2;2
968;2;2
969;2;2
970;3;3
971;0;0
972;1;1
973;3;3
974;2;2
975;1;1
976;2;2
977;0;0
978;0;0
979;3;3
980;3;3
981;3;3
982;1;1
983;2;2
984;3;3
985;2;2
986;3;3
987;1;1
988;2;2
989;0;0
990;3;3
991;0;0
992;3;3
993;0;0
994;0;0
995;3;3
996;3;3
997;1;1
998;2;2
999;3;3
1000;3;3
1001;1;1
1002;3;3
1003;1;1
1004;3;3
1005;3;3
1006;1;1
1007;1;1
1008;1;1
1009;2;2
1010;3;3
1011;3;3
1012;3;3
1013;1;1
1014;3;3
1015;3;3
1016;2;2
1017;0;0
1018;0;0
1019;0;3
1020;3;3
1021;3;3
1022;1;1
1023;3;3
1024;1;1
1025;2;2
1026;3;3
1027;1;1
1028;3;3
1029;0;0
1030;1;1
1031;0;0
1032;2;2
1033;3;3
1034;2;2
1035;1;1
1036;3;3
1037;0;0
1038;1;1
1039;1;1
1040;1;1
1041;1;1
1042;3;3
1043;2;2
1044;1;1
1045;1;1
1046;1;1
1047;1;1
1048;1;1
1049;0;0
1050;2;2
1051;3;0
1052;0;0
1053;3;3
1054;2;2
1055;3;3
1056;1;1
1057;1;1
1058;3;3
1059;1;1
1060;0;0
1061;2;2
1062;1;1
1063;0;0
1064;1;1
1065;2;2
1066;3;3
1067;3;3
1068;3;3
1069;2;2
1070;3;3
1071;2;2
1072;2;2
1073;0;0
1074;1;1
1075;0;0
1076;0;0
1077;2;2
1078;0;0
1079;3;3
1080;0;0
1081;3;3
1082;3;3
1083;3;3
1084;0;0
1085;0;0
1086;0;0
1087;1;1
1088;1;1
1089;2;2
1090;1;1
1091;0;0
1092;0;0
1093;2;2
1094;3;3
1095;3;3
1096;2;2
1097;3;3
1098;2;2
1099;0;0
1100;3;3
1101;3;3
1102;3;3
1103;1;1
1104;3;3
1105;1;1
1106;1;1
1107;0;0
1108;1;1
1109;1;1
1110;2;2
1111;0;1
1112;2;2
1113;3;3
1114;3;3
1115;3;3
1116;1;1
1117;3;3
1118;1;1
1119;1;1
1120;1;0
1121;3;3
1122;1;2
1123;0;0
1124;0;0
1125;1;1
1126;2;3
1127;1;1
1128;1;1
1129;1;1
1130;3;3
1131;3;3
1132;1;1
1133;3;3
1134;3;3
1135;3;3
1136;1;1
1137;3;3
1138;2;2
1139;1;1
1140;2;2
1141;1;1
1142;3;3
1143;3;3
1144;2;2
1145;2;2
1146;1;1
1147;3;3
1148;2;2
1149;0;0
1150;1;1
1151;3;3
1152;2;2
1153;0;0
1154;2;2
1155;0;0
1156;0;0
1157;3;3
1158;3;3
1159;3;3
1160;2;1
1161;3;3
1162;1;1
1163;0;0
1164;0;0
1165;1;1
1166;1;0
1167;2;2
1168;0;0
1169;3;3
1170;1;1
1171;2;2
1172;1;1
1173;2;2
1174;2;2
1175;1;1
1176;1;1
1177;1;1
1178;1;1
1179;3;3
1180;0;1
1181;1;1
1182;3;3
1183;1;1
1184;3;3
1185;0;0
1186;2;2
1187;1;1
1188;0;0
1189;1;1
1190;3;3
1191;1;1
1192;0;1
1193;3;3
1194;3;3
1195;2;2
1196;1;1
1197;1;1
1198;1;0
1199;1;1
1200;2;2
1201;3;3
1202;1;1
1203;2;2
1204;0;0
1205;1;1
1206;2;2
1207;3;2
1208;3;3
1209;2;2
1210;1;1
1211;2;2
1212;2;2
1213;0;0
1214;2;2
1215;3;3
1216;0;0
1217;1;1
1218;3;3
1219;3;3
1220;1;1
1221;1;1
1222;0;0
1223;0;0
1224;1;1
1225;1;1
1226;1;1
1227;1;1
1228;1;1
1229;3;3
1230;1;1
1231;2;2
1232;0;0
1233;1;1
1234;1;1
1235;3;3
1236;3;3
1237;2;2
1238;3;3
1239;1;1
1240;3;3
1241;1;2
1242;3;3
1243;1;1
1244;1;1
1245;1;1
1246;3;3
1247;1;1
1248;0;0
1249;3;3
1250;1;1
1251;3;3
1252;1;1
1253;1;1
1254;1;1
1255;1;1
1256;1;1
1257;3;3
1258;3;3
1259;1;1
1260;1;0
1261;2;2
1262;1;1
1263;0;0
1264;2;2
1265;3;3
1266;1;1
1267;2;2
1268;3;3
1269;2;2
1270;1;1
1271;3;3
1272;0;0
1273;1;1
1274;3;3
1275;2;2
1276;1;1
1277;1;1
1278;1;1
1279;2;2
1280;2;2
1281;1;1
1282;0;0
1283;1;1
1284;3;3
1285;0;0
1286;2;2
1287;1;1
1288;0;0
1289;3;3
1290;1;1
1291;2;2
1292;3;3
1293;2;2
1294;1;1
1295;2;2
1296;0;0
1297;0;0
1298;3;3
1299;1;1
1300;2;2
1301;3;3
1302;0;0
1303;1;1
1304;2;2
1305;3;3
1306;1;1
1307;2;2
1308;3;3
1309;1;1
1310;2;3
1311;2;2
1312;0;0
1313;3;3
1314;2;2
1315;3;3
1316;2;2
1317;2;2
1318;1;1
1319;3;3
1320;2;2
1321;3;3
1322;1;1
1323;3;3
1324;0;0
1325;1;1
1326;1;1
1327;3;3
1328;0;0
1329;0;0
1330;0;0
1331;2;2
1332;0;0
1333;0;0
1334;2;2
1335;2;2
1336;3;3
1337;1;1
1338;1;1
1339;1;1
1340;0;0
1341;1;1
1342;1;1
1343;0;0
1344;3;2
1345;1;1
1346;1;1
1347;2;2
1348;0;0
1349;3;3
1350;0;0
1351;1;1
1352;3;3
1353;0;0
1354;3;3
1355;3;3
1356;2;2
1357;1;0
1358;0;0
1359;1;1
1360;0;0
1361;2;2
1362;1;1
1363;0;0
1364;3;3
1365;3;3
1366;3;3
1367;3;3
1368;0;0
1369;0;0
1370;3;3
1371;3;3
1372;1;2
1373;3;3
1374;1;1
1375;0;0
1376;0;0
1377;1;1
1378;3;3
1379;2;2
1380;3;3
1381;0;0
1382;3;3
1383;1;1
1384;3;2
1385;3;3
1386;1;1
1387;1;1
1388;3;3
1389;3;3
1390;3;3
1391;1;1
1392;2;2
1393;1;1
1394;0;0
1395;3;3
1396;1;1
1397;1;1
1398;1;1
1399;3;3
1400;3;3
1401;3;3
1402;0;0
1403;1;1
1404;3;3
1405;0;0
1406;2;2
1407;1;1
1408;1;1
1409;1;1
1410;0;0
1411;3;3
1412;0;0
1413;3;3
1414;1;1
1415;1;1
1416;1;2
1417;3;3
1418;0;0
1419;1;1
1420;2;2
1421;0;0
1422;3;3
1423;3;3
1424;0;0
1425;3;3
1426;0;0
1427;0;0
1428;0;0
1429;2;2
1430;0;0
1431;2;2
1432;1;1
1433;1;1
1434;2;2
1435;1;0
1436;0;0
1437;3;3
1438;3;3
1439;3;3
1440;0;0
1441;2;1
1442;3;3
1443;1;1
1444;1;1
1445;1;1
1446;1;1
1447;3;3
1448;0;0
1449;1;1
1450;1;1
1451;2;2
1452;3;3
1453;1;1
1454;0;0
1455;0;0
1456;3;3
1457;1;1
1458;1;1
1459;1;1
1460;0;0
1461;3;3
1462;0;0
1463;3;3
1464;3;3
1465;3;3
1466;1;1
1467;0;0
1468;3;3
1469;3;3
1470;2;2
1471;3;2
1472;1;1
1473;1;1
1474;0;0
1475;3;3
1476;2;2
1477;0;0
1478;3;3
1479;2;2
1480;2;2
1481;1;1
1482;2;2
1483;1;1
1484;0;0
1485;1;1
1486;1;1
1487;0;1
1488;3;3
1489;2;2
1490;1;1
1491;3;3
1492;1;1
1493;3;3
1494;1;1
1495;1;1
1496;1;1
1497;0;0
1498;3;3
1499;1;1
1500;2;2
1501;2;2
1502;0;0
1503;1;1
1504;0;0
1505;3;3
1506;1;1
1507;2;2
1508;3;3
1509;1;1
1510;1;1
1511;1;1
1512;2;2
1513;1;1
1514;1;1
1515;0;0
1516;2;2
1517;1;1
1518;3;3
1519;3;3
1520;1;1
1521;0;0
1522;3;3
1523;0;0
1524;2;2
1525;0;0
1526;3;3
1527;3;3
1528;0;0
1529;3;3
1530;0;0
1531;1;1
1532;0;0
1533;0;0
1534;0;0
1535;0;1
1536;0;0
1537;1;1
1538;2;2
1539;1;1
1540;0;0
1541;1;0
1542;1;1
1543;1;1
1544;2;2
1545;1;1
1546;3;3
1547;1;1
1548;2;2
1549;1;1
1550;3;3
1551;1;1
1552;2;2
1553;3;3
1554;3;3
1555;1;1
1556;2;2
1557;1;1
1558;3;3
1559;1;1
1560;1;1
1561;1;1
1562;1;1
1563;1;1
1564;2;2
1565;2;2
1566;3;3
1567;1;1
1568;2;2
1569;1;1
1570;3;3
1571;3;3
1572;0;0
1573;0;0
1574;3;3
1575;1;1
1576;1;1
1577;2;1
1578;0;0
1579;3;3
1580;2;2
1581;1;1
1582;3;3
1583;1;1
1584;1;1
1585;2;2
1586;1;1
1587;2;2
1588;1;1
1589;1;1
1590;2;2
1591;3;3
1592;1;1
1593;1;1
1594;0;0
1595;1;1
1596;3;3
1597;0;0
1598;0;0
1599;1;1
1600;3;3
1601;2;2
1602;3;2
1603;0;0
1604;2;3
1605;3;3
1606;1;1
1607;1;1
1608;3;3
1609;1;1
1610;3;3
1611;3;3
1612;3;3
1613;0;0
1614;3;3
1615;0;0
1616;3;3
1617;0;0
1618;1;1
1619;1;1
1620;1;1
1621;1;1
1622;2;2
1623;1;1
1624;0;0
1625;1;1
1626;1;1
1627;2;2
1628;1;1
1629;0;3
1630;2;2
1631;2;2
1632;2;2
1633;1;1
1634;0;0
1635;1;1
1636;1;2
1637;0;0
1638;3;3
1639;1;1
1640;1;1
1641;1;1
1642;1;1
1643;3;3
1644;0;0
1645;1;1
1646;3;3
1647;3;3
1648;2;2
1649;2;3
1650;3;3
1651;2;2
1652;2;2
1653;3;3
1654;0;0
1655;1;2
1656;1;1
1657;0;0
1658;2;2
1659;3;3
1660;0;0
1661;1;1
1662;2;2
1663;2;2
1664;0;0
1665;1;1
1666;1;1
1667;3;3
1668;1;1
1669;3;3
1670;1;0
1671;1;1
1672;3;3
1673;2;1
1674;3;3
1675;1;1
1676;1;1
1677;1;1
1678;3;3
1679;1;1
1680;3;3
1681;0;0
1682;0;0
1683;3;3
1684;3;3
1685;3;3
1686;3;3
1687;1;1
1688;1;1
1689;2;2
1690;2;2
1691;1;1
1692;0;0
1693;2;2
1694;1;1
1695;3;3
1696;0;0
1697;3;3
1698;0;0
1699;0;0
1700;1;1
1701;3;3
1702;3;3
1703;1;1
1704;3;3
1705;1;1
1706;1;1
1707;3;3
1708;1;1
1709;2;1
1710;1;1
1711;0;0
1712;2;2
1713;3;3
1714;1;1
1715;1;1
1716;3;3
1717;2;2
1718;1;1
1719;2;2
1720;0;0
1721;1;1
1722;1;1
1723;3;2
1724;3;3
1725;3;3
1726;1;2
1727;2;2
1728;1;1
1729;1;1
1730;2;2
1731;0;0
1732;1;1
1733;2;2
1734;1;1
1735;0;0
1736;3;3
1737;1;1
1738;3;0
1739;3;3
1740;3;3
1741;1;0
1742;1;1
1743;0;0
1744;1;1
1745;3;3
1746;3;3
1747;3;3
1748;3;0
1749;2;2
1750;0;1
1751;2;2
1752;0;0
1753;1;1
1754;3;3
1755;1;1
1756;0;0
1757;0;0
1758;1;1
1759;3;3
1760;0;0
1761;2;2
1762;1;1
1763;3;3
1764;1;1
1765;3;0
1766;3;3
1767;0;1
1768;0;0
1769;0;0
1770;0;0
1771;1;1
1772;3;3
1773;3;3
1774;1;1
1775;0;0
1776;0;3
1777;3;3
1778;0;0
1779;0;1
1780;1;1
1781;1;1
1782;1;1
1783;0;0
1784;3;3
1785;0;0
1786;0;0
1787;1;1
1788;3;3
1789;1;1
1790;3;3
1791;1;1
1792;2;2
1793;1;1
1794;1;1
1795;3;3
1796;3;3
1797;3;3
1798;2;2
1799;1;1
1800;0;0
1801;1;1
1802;1;1
1803;0;0
1804;1;1
1805;1;1
1806;3;3
1807;1;1
1808;3;3
1809;2;2
1810;1;1
1811;2;2
1812;3;3
1813;3;3
1814;2;2
1815;1;1
1816;1;1
1817;2;2
1818;1;1
1819;0;0
1820;2;2
1821;0;0
1822;1;1
1823;2;2
1824;1;1
1825;2;2
1826;2;1
1827;1;1
1828;3;3
1829;3;3
1830;2;2
1831;3;3
1832;1;1
1833;3;3
1834;3;3
1835;3;3
1836;1;1
1837;3;3
1838;3;3
1839;1;1
1840;1;1
1841;1;1
1842;1;1
1843;1;2
1844;3;3
1845;3;3
1846;3;3
1847;1;1
1848;3;3
1849;1;1
1850;3;3
1851;2;2
1852;3;3
1853;1;1
1854;0;0
1855;2;2
1856;2;2
1857;2;2
1858;3;3
1859;3;3
1860;0;0
1861;2;2
1862;2;2
1863;0;0
1864;3;3
1865;3;3
1866;2;2
1867;0;0
1868;2;2
1869;1;1
1870;2;2
1871;0;1
1872;3;3
1873;3;3
1874;3;3
1875;1;1
1876;0;0
1877;1;1
1878;1;1
1879;1;1
1880;3;3
1881;0;0
1882;1;1
1883;3;3
1884;3;3
1885;3;3
1886;0;0
1887;3;3
1888;2;2
1889;2;2
1890;0;0
1891;1;1
1892;1;1
1893;1;1
1894;0;0
1895;1;1
1896;1;1
1897;1;1
1898;1;1
1899;1;1
1900;0;0
1901;0;0
1902;3;3
1903;0;1
1904;3;3
1905;3;3
1906;1;1
1907;3;3
1908;0;0
1909;1;1
1910;0;0
1911;0;0
1912;2;2
1913;1;1
1914;1;1
1915;1;1
1916;1;1
1917;1;1
1918;0;1
1919;1;1
1920;1;1
1921;3;3
1922;2;1
