;True;Predicted
0;0;0
1;0;0
2;3;3
3;3;3
4;1;1
5;3;3
6;2;3
7;2;3
8;1;1
9;3;3
10;3;3
11;1;1
12;1;1
13;2;2
14;1;1
15;2;2
16;0;0
17;2;2
18;1;1
19;2;2
20;3;3
21;1;1
22;2;2
23;3;3
24;1;1
25;0;0
26;1;1
27;2;1
28;3;3
29;3;3
30;3;3
31;1;1
32;2;2
33;1;1
34;3;3
35;1;1
36;1;1
37;3;3
38;2;2
39;3;3
40;1;1
41;3;3
42;1;1
43;3;3
44;3;3
45;3;3
46;1;1
47;0;0
48;3;3
49;3;3
50;2;2
51;2;2
52;1;1
53;1;1
54;3;3
55;3;3
56;2;2
57;1;1
58;0;0
59;1;1
60;1;1
61;1;1
62;2;2
63;3;3
64;3;3
65;0;0
66;0;0
67;2;2
68;3;3
69;3;3
70;3;3
71;1;1
72;2;2
73;1;1
74;3;3
75;0;0
76;0;1
77;1;1
78;2;2
79;1;1
80;3;3
81;1;0
82;0;0
83;3;3
84;1;1
85;0;0
86;3;3
87;3;3
88;0;0
89;3;3
90;1;1
91;3;3
92;2;2
93;1;1
94;1;1
95;1;1
96;3;3
97;1;1
98;3;3
99;3;3
100;3;3
101;1;1
102;0;0
103;1;1
104;1;1
105;2;2
106;1;1
107;3;3
108;3;3
109;1;1
110;1;1
111;3;2
112;3;3
113;1;1
114;3;3
115;0;0
116;3;3
117;0;0
118;1;1
119;1;1
120;1;1
121;1;1
122;1;1
123;3;3
124;3;3
125;0;0
126;1;1
127;1;1
128;3;3
129;3;3
130;2;2
131;1;1
132;1;1
133;0;0
134;0;0
135;3;3
136;1;1
137;0;0
138;1;1
139;1;1
140;1;1
141;1;1
142;3;3
143;1;1
144;1;1
145;1;1
146;1;1
147;3;3
148;0;0
149;1;1
150;1;1
151;0;0
152;3;3
153;1;1
154;2;2
155;1;2
156;0;0
157;3;3
158;2;2
159;1;1
160;1;1
161;0;0
162;3;3
163;1;1
164;3;3
165;0;0
166;0;0
167;0;0
168;2;2
169;2;2
170;2;2
171;2;2
172;0;0
173;2;2
174;3;3
175;1;1
176;3;3
177;1;1
178;2;2
179;1;1
180;0;0
181;1;1
182;2;2
183;0;0
184;3;3
185;1;1
186;0;0
187;3;3
188;1;1
189;1;1
190;0;0
191;3;0
192;3;3
193;1;1
194;3;3
195;1;1
196;3;3
197;1;1
198;1;1
199;1;1
200;3;3
201;1;1
202;3;3
203;0;0
204;3;3
205;2;2
206;1;1
207;3;3
208;3;3
209;2;3
210;1;1
211;3;3
212;1;1
213;2;2
214;1;1
215;3;3
216;3;3
217;1;1
218;1;1
219;2;2
220;3;3
221;1;1
222;0;0
223;0;0
224;3;3
225;2;2
226;3;3
227;0;0
228;2;2
229;2;2
230;2;2
231;2;1
232;3;3
233;3;3
234;1;1
235;0;0
236;0;0
237;2;2
238;3;3
239;3;3
240;3;3
241;1;1
242;3;3
243;0;0
244;0;0
245;0;0
246;1;1
247;3;2
248;1;1
249;3;3
250;1;1
251;0;0
252;2;2
253;3;3
254;1;0
255;3;3
256;1;1
257;1;1
258;3;3
259;1;1
260;2;2
261;0;0
262;3;3
263;2;2
264;1;1
265;2;2
266;3;3
267;3;2
268;0;0
269;1;1
270;1;1
271;3;3
272;0;0
273;3;3
274;3;3
275;1;1
276;1;1
277;1;1
278;0;0
279;3;3
280;2;2
281;0;1
282;3;3
283;3;3
284;0;0
285;3;3
286;2;2
287;3;3
288;3;3
289;0;0
290;1;1
291;1;1
292;0;0
293;3;3
294;0;0
295;0;0
296;1;1
297;2;2
298;1;2
299;3;3
300;2;2
301;1;1
302;1;1
303;1;1
304;2;2
305;0;0
306;2;2
307;3;3
308;2;2
309;3;3
310;3;3
311;1;1
312;1;1
313;3;3
314;0;0
315;3;3
316;1;0
317;1;0
318;2;2
319;2;2
320;3;3
321;1;1
322;1;1
323;3;3
324;0;0
325;2;2
326;1;1
327;1;1
328;2;2
329;1;1
330;1;1
331;1;1
332;1;1
333;1;1
334;1;1
335;1;1
336;0;0
337;0;0
338;1;1
339;3;3
340;0;0
341;2;2
342;1;1
343;1;1
344;3;3
345;1;1
346;2;3
347;3;3
348;0;0
349;2;2
350;3;3
351;0;0
352;1;1
353;1;1
354;0;0
355;2;2
356;1;1
357;2;2
358;3;3
359;3;3
360;0;0
361;0;0
362;2;2
363;3;3
364;3;3
365;2;2
366;1;1
367;1;1
368;1;1
369;2;2
370;1;1
371;3;3
372;1;1
373;0;0
374;3;3
375;3;3
376;1;1
377;3;3
378;3;3
379;1;1
380;2;2
381;3;3
382;1;1
383;2;2
384;3;3
385;0;0
386;2;2
387;0;0
388;2;2
389;1;1
390;3;3
391;3;3
392;2;2
393;2;2
394;3;3
395;2;2
396;3;3
397;1;1
398;1;1
399;1;1
400;1;1
401;3;3
402;0;0
403;3;3
404;3;3
405;2;2
406;0;0
407;0;0
408;0;0
409;2;2
410;3;3
411;1;1
412;2;2
413;1;1
414;0;1
415;1;1
416;1;1
417;1;1
418;1;2
419;3;3
420;3;3
421;3;3
422;1;1
423;1;1
424;2;2
425;2;2
426;1;1
427;3;3
428;1;1
429;0;0
430;0;0
431;0;0
432;1;1
433;1;1
434;2;2
435;0;0
436;2;2
437;1;1
438;1;1
439;0;0
440;1;1
441;1;1
442;3;3
443;3;3
444;2;2
445;1;1
446;3;3
447;3;3
448;3;3
449;0;0
450;2;2
451;3;3
452;1;1
453;2;2
454;3;3
455;3;3
456;3;3
457;0;0
458;3;3
459;1;1
460;1;1
461;3;3
462;1;1
463;3;3
464;1;1
465;1;0
466;2;2
467;3;3
468;3;3
469;3;3
470;0;0
471;3;3
472;1;1
473;2;2
474;0;0
475;3;3
476;3;3
477;1;1
478;2;2
479;3;3
480;2;2
481;3;3
482;1;1
483;1;1
484;2;2
485;2;2
486;0;0
487;3;3
488;0;0
489;3;2
490;3;2
491;2;2
492;0;0
493;1;1
494;3;3
495;0;0
496;1;1
497;3;2
498;1;1
499;0;0
500;0;0
501;2;2
502;2;1
503;1;1
504;3;3
505;3;3
506;2;2
507;1;1
508;2;2
509;1;1
510;1;1
511;0;0
512;2;2
513;3;3
514;3;3
515;2;2
516;3;3
517;1;1
518;0;0
519;2;3
520;1;0
521;1;1
522;0;0
523;1;1
524;0;0
525;0;0
526;3;3
527;1;1
528;3;3
529;0;0
530;3;2
531;2;2
532;1;1
533;0;0
534;3;3
535;3;3
536;1;1
537;1;1
538;3;3
539;2;2
540;0;0
541;1;1
542;2;2
543;3;3
544;1;1
545;0;0
546;3;3
547;1;1
548;2;2
549;1;1
550;1;1
551;3;3
552;3;3
553;1;1
554;2;2
555;0;0
556;3;3
557;3;3
558;3;3
559;2;1
560;2;2
561;1;1
562;1;1
563;3;3
564;1;1
565;1;1
566;2;2
567;3;3
568;2;2
569;3;3
570;3;3
571;2;2
