;True;Predicted
0;3;3
1;1;1
2;3;3
3;2;1
4;2;2
5;1;1
6;3;3
7;2;2
8;3;3
9;1;1
10;1;1
11;0;0
12;3;3
13;0;0
14;2;2
15;1;1
16;1;1
17;3;3
18;3;3
19;3;3
20;3;3
21;0;0
22;1;1
23;3;3
24;1;1
25;0;0
26;3;3
27;2;2
28;2;1
29;1;1
30;1;1
31;0;0
32;3;3
33;0;0
34;1;1
35;3;3
36;0;0
37;3;3
38;0;0
39;1;1
40;1;1
41;0;0
42;3;3
43;2;3
44;3;3
45;1;1
46;0;0
47;1;1
48;3;3
49;3;3
50;3;3
51;1;1
52;0;0
53;2;2
54;3;3
55;2;2
56;3;3
57;0;0
58;1;1
59;3;3
60;3;3
61;3;3
62;3;3
63;2;2
64;0;0
65;1;1
66;0;1
67;1;1
68;2;2
69;3;3
70;1;1
71;1;1
72;0;0
73;3;3
74;1;1
75;1;1
76;1;1
77;1;1
78;3;3
79;0;0
80;3;3
81;3;3
82;0;0
83;1;1
84;1;1
85;0;0
86;0;0
87;1;1
88;0;0
89;2;2
90;1;1
91;0;0
92;1;1
93;2;2
94;3;3
95;0;0
96;0;3
97;1;1
98;0;0
99;3;3
100;2;2
101;3;3
102;1;1
103;3;3
104;3;3
105;2;2
106;0;0
107;0;0
108;2;2
109;1;1
110;3;3
111;2;2
112;1;1
113;2;2
114;0;0
115;3;3
116;1;1
117;3;3
118;1;1
119;3;3
120;0;0
121;1;1
122;1;1
123;1;1
124;3;3
125;1;1
126;1;1
127;2;2
128;3;3
129;3;3
130;3;3
131;1;1
132;1;1
133;3;3
134;3;3
135;1;1
136;3;3
137;3;3
138;3;3
139;1;1
140;1;1
141;2;2
142;2;2
143;3;3
144;1;1
145;1;1
146;1;1
147;3;3
148;3;3
149;2;2
150;1;0
151;2;2
152;1;1
153;1;1
154;1;1
155;2;2
156;2;2
157;1;1
158;0;3
159;1;1
160;2;2
161;1;1
162;3;3
163;1;1
164;2;2
165;1;1
166;1;1
167;1;1
168;1;1
169;3;3
170;0;0
171;0;0
172;2;2
173;0;0
174;1;0
175;0;0
176;0;0
177;0;0
178;3;3
179;1;1
180;3;2
181;2;2
182;2;2
183;2;2
184;1;1
185;3;3
186;0;0
187;2;2
188;3;3
189;1;1
190;3;3
191;3;3
192;3;3
193;3;2
194;3;3
195;2;2
196;1;1
197;3;3
198;1;1
199;0;0
200;3;3
201;1;1
202;3;3
203;1;1
204;1;1
205;0;0
206;3;3
207;2;2
208;2;2
209;3;3
210;3;3
211;0;0
212;1;1
213;0;0
214;1;1
215;1;1
216;0;0
217;0;0
218;3;2
219;2;2
220;2;2
221;1;1
222;3;3
223;2;2
224;1;1
225;1;1
226;0;0
227;0;0
228;2;2
229;2;2
230;1;1
231;2;2
232;0;0
233;1;1
234;0;0
235;1;1
236;0;0
237;0;0
238;1;1
239;1;1
240;1;1
241;3;3
242;1;1
243;1;1
244;0;0
245;3;3
246;0;0
247;3;3
248;2;2
249;2;2
250;3;3
251;1;1
252;2;2
253;2;2
254;3;3
255;2;2
256;2;2
257;1;1
258;1;1
259;0;0
260;1;1
261;3;3
262;3;3
263;2;2
264;2;2
265;0;0
266;2;2
267;1;1
268;2;2
269;3;3
270;2;2
271;0;1
272;2;2
273;3;3
274;1;1
275;1;1
276;0;0
277;2;2
278;0;0
279;1;1
280;3;3
281;3;3
282;3;3
283;2;2
284;3;3
285;0;0
286;0;0
287;3;3
288;3;3
289;0;0
290;1;1
291;1;1
292;0;0
293;3;2
294;1;1
295;0;0
296;3;3
297;3;3
298;1;1
299;2;2
300;3;3
301;1;1
302;0;0
303;2;2
304;1;1
305;0;0
306;1;1
307;2;2
308;1;1
309;2;2
310;3;3
311;1;1
312;0;0
313;2;2
314;3;3
315;3;3
316;3;3
317;1;1
318;2;2
319;2;2
320;0;0
321;1;1
322;3;3
323;3;3
324;2;2
325;3;3
326;2;2
327;3;3
328;3;3
329;2;2
330;3;3
331;1;1
332;3;3
333;2;2
334;1;1
335;2;2
336;1;1
337;3;3
338;2;2
339;3;3
340;3;3
341;0;3
342;1;1
343;1;1
344;1;1
345;3;3
346;3;3
347;2;1
348;0;0
349;0;0
350;3;3
351;2;2
352;0;0
353;3;3
354;0;0
355;3;3
356;0;0
357;1;1
358;1;1
359;1;1
360;1;1
361;1;1
362;3;3
363;1;1
364;3;0
365;3;3
366;2;2
367;0;0
368;1;1
369;3;3
370;2;2
371;2;2
372;3;3
373;2;2
374;1;1
375;1;1
376;2;2
377;2;2
378;3;3
379;3;3
380;2;2
381;1;1
382;1;1
383;1;1
384;1;1
385;0;0
386;3;3
387;1;1
388;3;3
389;1;1
390;1;1
391;3;3
392;3;3
393;2;2
394;0;0
395;3;3
396;1;1
397;0;0
398;2;2
399;2;2
400;3;3
401;1;1
402;1;1
403;1;1
404;3;3
405;0;0
406;0;0
407;3;2
408;0;0
409;0;1
410;0;0
411;1;1
412;3;3
413;3;3
414;3;3
415;0;0
416;3;3
417;0;0
418;1;1
419;3;3
420;1;1
421;1;1
422;1;1
423;3;3
424;3;3
425;0;0
426;1;1
427;1;1
428;1;1
429;1;1
430;1;1
431;0;0
432;1;1
433;0;0
434;2;2
435;1;1
436;3;3
437;3;3
438;2;2
439;2;2
440;0;0
441;1;1
442;3;3
443;3;3
444;0;0
445;3;0
446;2;2
447;3;3
448;3;3
449;0;0
450;3;3
451;1;1
452;3;3
453;2;2
454;2;2
455;3;3
456;3;3
457;2;2
458;0;0
459;0;0
460;0;3
461;1;1
462;2;2
463;1;1
464;1;1
465;1;1
466;3;3
467;1;1
468;3;3
469;0;0
470;1;1
471;0;0
472;1;1
473;1;1
474;2;2
475;0;0
476;1;1
477;1;0
478;3;3
479;2;2
480;1;1
481;3;3
482;1;1
483;1;1
484;3;3
485;1;1
486;1;1
487;2;2
488;2;2
489;0;0
490;1;1
491;2;2
492;2;2
493;2;1
494;3;3
495;2;2
496;1;1
497;3;3
498;3;3
499;2;2
500;1;1
501;2;2
502;2;2
503;1;0
504;1;1
505;1;1
506;2;2
507;1;1
508;0;0
509;0;0
510;1;1
511;3;3
512;2;2
513;2;2
514;2;2
515;3;3
516;1;1
517;1;1
518;0;0
519;0;0
520;0;0
521;2;3
522;2;2
523;1;1
524;0;0
525;3;3
526;1;1
527;1;1
528;1;1
529;2;3
530;2;2
531;0;0
532;1;1
533;1;1
534;3;3
535;0;0
536;3;3
537;0;0
538;1;0
539;2;2
540;2;2
541;1;1
542;2;2
543;0;0
544;0;0
545;1;1
546;3;3
547;1;1
548;2;2
549;3;3
550;1;1
551;1;1
552;1;1
553;1;1
554;3;3
555;0;0
556;3;3
557;3;3
558;1;1
559;0;0
560;1;1
561;3;3
562;3;3
563;0;0
564;1;1
565;2;2
566;3;3
567;2;2
568;0;3
569;3;3
570;3;3
571;2;2
572;1;1
573;0;0
574;1;1
575;3;3
576;3;3
577;3;3
578;1;1
579;2;2
580;1;1
581;1;1
582;3;2
583;0;0
584;3;3
585;3;3
586;1;1
587;1;1
588;0;0
589;1;1
590;1;1
591;3;3
592;1;1
593;1;1
594;2;2
595;3;3
596;1;0
597;3;3
598;1;1
599;3;3
600;3;3
601;1;1
602;1;1
603;1;1
604;2;2
605;0;0
606;3;3
607;3;3
608;3;3
609;1;1
610;3;3
611;0;0
612;3;3
613;1;1
614;1;1
615;1;1
616;1;1
617;1;1
618;3;3
619;1;1
620;3;3
621;1;1
622;1;1
623;0;0
624;3;3
625;0;0
626;2;2
627;3;3
628;1;1
629;1;1
630;0;0
631;1;1
632;0;0
633;1;1
634;0;0
635;1;1
636;1;1
637;2;2
638;1;1
639;1;1
640;2;2
641;1;1
642;1;1
643;2;2
644;3;3
645;1;1
646;0;0
647;3;3
648;2;2
649;0;0
650;3;3
651;0;0
652;3;3
653;3;3
654;3;3
655;2;2
656;1;1
657;3;3
658;1;1
659;1;1
660;0;0
661;3;3
662;1;1
663;1;1
664;0;0
665;3;3
666;1;1
667;1;1
668;2;2
669;3;3
670;0;0
671;0;0
672;2;2
673;1;1
674;2;2
675;3;3
676;2;2
677;1;1
678;3;3
679;1;1
680;1;1
681;1;1
682;1;0
683;3;3
684;2;2
685;3;3
686;2;2
687;1;1
688;1;1
689;1;1
690;2;2
691;3;3
692;3;3
693;3;3
694;3;3
695;1;1
696;2;2
697;2;2
698;3;3
699;0;0
700;1;1
701;1;1
702;3;3
703;3;3
704;1;1
705;0;0
706;2;2
707;3;3
708;1;1
709;1;1
710;0;0
711;3;3
712;2;2
713;1;1
714;0;0
715;1;1
716;1;1
717;1;1
718;3;3
719;0;0
720;1;1
721;0;0
722;3;3
723;2;2
724;1;1
725;1;1
726;1;1
727;3;3
728;1;1
729;1;1
730;1;1
731;2;2
732;3;3
733;0;0
734;2;2
735;3;3
736;2;2
737;1;1
738;0;0
739;3;3
740;3;3
741;1;1
742;0;0
743;1;1
744;3;3
745;3;3
746;0;0
747;1;1
748;1;1
749;2;2
750;3;3
751;0;0
752;3;3
753;0;1
754;2;2
755;2;2
756;0;0
757;1;2
758;0;0
759;1;1
760;3;3
761;0;0
762;1;1
763;2;2
764;0;0
765;2;2
766;0;0
767;3;3
768;2;2
769;1;1
770;3;3
771;0;0
772;2;2
773;1;1
774;3;3
775;2;2
776;1;1
777;1;1
778;3;3
779;1;1
780;3;3
781;1;1
782;2;2
783;3;3
784;3;3
785;2;2
786;1;1
787;0;0
788;3;3
789;1;1
790;2;2
791;3;3
792;2;2
793;1;0
794;3;3
795;0;0
796;2;2
797;3;3
798;1;1
799;3;3
800;3;3
801;0;0
802;3;3
803;1;1
804;3;3
805;3;3
806;0;0
807;0;0
808;1;0
809;1;1
810;3;3
811;0;0
812;3;3
813;3;3
814;0;0
815;2;2
816;3;3
817;1;1
818;3;3
819;1;1
820;3;3
821;3;3
822;2;2
823;0;0
824;1;1
825;3;3
826;1;1
827;3;3
828;2;2
829;1;1
830;3;3
831;2;2
832;1;1
833;0;0
834;1;1
835;1;1
836;0;0
837;3;3
838;0;0
839;3;3
840;3;3
841;1;1
842;0;0
843;3;3
844;3;3
845;1;1
846;3;3
847;3;3
848;2;2
849;2;2
850;3;3
851;1;1
852;1;1
853;0;0
854;2;2
855;0;0
856;0;0
857;1;1
858;1;1
859;1;1
860;2;2
861;1;1
862;3;3
863;3;3
864;1;1
865;1;1
866;0;0
867;3;3
868;1;1
869;3;3
870;0;0
871;3;3
872;0;0
873;2;2
874;3;3
875;1;1
876;0;0
877;3;3
878;3;3
879;2;2
880;1;1
881;1;1
882;1;1
883;3;3
884;3;3
885;1;1
886;3;3
887;3;3
888;0;0
889;3;3
890;3;3
891;3;3
892;3;3
893;3;3
894;2;2
895;1;1
896;1;1
897;3;0
898;0;0
899;0;0
900;1;1
901;1;1
902;1;1
903;3;3
904;1;1
905;1;1
906;0;0
907;3;3
908;1;1
909;1;1
910;3;3
911;1;1
912;1;1
913;3;3
914;2;2
915;1;1
916;3;3
917;0;0
918;3;3
919;0;0
920;3;3
921;2;2
922;2;2
923;1;1
924;2;2
925;3;3
926;1;1
927;3;3
928;1;1
929;3;3
930;3;3
931;1;1
932;3;3
933;2;2
934;1;1
935;3;3
936;1;1
937;1;1
938;3;3
939;1;1
940;3;3
941;1;1
942;0;0
943;0;0
944;2;2
945;2;2
946;1;1
947;1;1
948;1;1
949;2;2
950;1;1
951;0;0
952;1;1
953;2;2
954;1;1
955;3;2
956;3;3
957;3;3
958;0;0
959;1;1
960;0;0
961;3;3
962;3;3
963;2;2
964;0;0
965;3;3
966;2;2
967;1;1
968;3;3
969;2;2
970;0;0
971;3;2
972;1;1
973;1;1
974;0;0
975;1;1
976;0;0
977;2;2
978;1;1
979;2;2
980;1;1
981;0;3
982;1;1
983;3;3
984;1;1
985;3;3
986;0;0
987;3;3
988;3;3
989;1;1
990;3;3
991;0;0
992;0;0
993;0;0
994;1;1
995;3;3
996;0;0
997;1;2
998;2;2
999;0;0
1000;3;3
1001;0;0
1002;0;0
1003;0;0
1004;3;3
1005;3;3
1006;3;3
1007;3;3
1008;3;3
1009;1;1
1010;1;1
1011;3;3
1012;2;2
1013;2;2
1014;3;3
1015;3;0
1016;3;3
1017;0;0
1018;0;3
1019;1;0
1020;1;1
1021;0;0
1022;2;2
1023;1;1
1024;1;1
1025;1;1
1026;1;1
1027;0;0
1028;1;1
1029;2;2
1030;1;1
1031;1;1
1032;3;3
1033;3;3
1034;1;1
1035;2;2
1036;3;3
1037;3;3
1038;3;3
1039;1;1
1040;1;1
1041;2;2
1042;3;3
1043;2;2
1044;0;1
1045;2;2
1046;3;3
1047;3;3
1048;3;3
1049;0;0
1050;3;3
1051;3;3
1052;1;1
1053;3;3
1054;3;3
1055;1;1
1056;0;0
1057;2;2
1058;1;1
1059;3;3
1060;0;0
1061;3;3
1062;3;3
1063;3;3
1064;1;1
1065;3;3
1066;2;2
1067;3;3
1068;3;3
1069;0;0
1070;0;0
1071;0;0
1072;3;3
1073;1;1
1074;1;1
1075;2;2
1076;1;1
1077;2;2
1078;1;1
1079;3;3
1080;2;2
1081;2;2
1082;3;3
1083;3;3
1084;1;1
1085;3;3
1086;2;2
1087;1;1
1088;1;1
1089;0;0
1090;0;0
1091;1;1
1092;2;2
1093;2;2
1094;3;3
1095;2;2
1096;3;3
1097;2;2
1098;0;0
1099;1;1
1100;3;3
1101;2;2
1102;3;3
1103;1;1
1104;3;3
1105;1;1
1106;3;3
1107;1;1
1108;2;2
1109;1;1
1110;1;1
1111;1;1
1112;0;0
1113;3;3
1114;1;1
1115;3;3
1116;1;1
1117;3;3
1118;3;3
1119;1;1
1120;1;1
1121;1;1
1122;1;1
1123;3;3
1124;1;1
1125;3;3
1126;2;1
1127;1;1
1128;3;3
1129;0;0
1130;1;1
1131;1;1
1132;1;1
1133;3;3
1134;1;1
1135;2;2
1136;3;3
1137;1;1
1138;1;2
1139;0;0
1140;1;1
1141;0;0
1142;0;0
1143;3;3
1144;3;3
1145;1;1
1146;1;1
1147;2;2
1148;0;0
1149;1;1
1150;0;1
1151;3;3
1152;1;1
1153;1;1
1154;2;2
1155;1;1
1156;0;0
1157;3;3
1158;3;3
1159;3;3
1160;0;0
1161;2;2
1162;1;1
1163;0;0
1164;2;2
1165;3;3
1166;2;1
1167;3;3
1168;2;1
1169;0;0
1170;1;1
1171;0;0
1172;1;1
1173;0;0
1174;1;1
1175;1;1
1176;3;3
1177;2;2
1178;3;3
1179;0;0
1180;0;0
1181;2;2
1182;0;0
1183;0;1
1184;3;3
1185;2;2
1186;1;1
1187;0;1
1188;3;3
1189;3;3
1190;0;0
1191;1;1
1192;1;1
1193;1;1
1194;1;1
1195;1;1
1196;3;3
1197;2;3
1198;2;1
1199;1;1
1200;3;3
1201;2;2
1202;1;1
1203;3;3
1204;3;3
1205;1;1
1206;1;1
1207;1;1
1208;3;3
1209;3;3
1210;1;2
1211;0;1
1212;0;0
1213;3;3
1214;1;1
1215;1;1
1216;3;3
1217;1;1
1218;3;0
1219;2;2
1220;1;1
1221;3;3
1222;1;1
1223;2;2
1224;1;1
1225;1;1
1226;2;2
1227;1;1
1228;2;2
1229;3;3
1230;1;1
1231;1;1
1232;3;3
1233;0;0
1234;0;0
1235;1;1
1236;2;2
1237;1;0
1238;3;3
1239;1;1
1240;2;2
1241;0;0
1242;0;0
1243;2;2
1244;3;3
1245;3;3
1246;1;1
1247;2;2
1248;0;0
1249;1;1
1250;0;0
1251;1;1
1252;1;1
1253;3;3
1254;3;3
1255;2;2
1256;2;2
1257;1;1
1258;1;0
1259;3;3
1260;2;2
1261;3;3
1262;0;0
1263;3;3
1264;2;2
1265;2;2
1266;0;0
1267;1;1
1268;1;1
1269;1;1
1270;3;3
1271;0;0
1272;1;1
1273;2;2
1274;3;3
1275;3;3
1276;1;1
1277;1;1
1278;2;2
1279;1;1
1280;1;1
1281;3;3
1282;2;2
1283;3;3
1284;3;3
1285;1;1
1286;1;1
1287;3;3
1288;0;0
1289;3;3
1290;3;3
1291;1;1
1292;3;2
1293;0;0
1294;3;3
1295;3;0
1296;3;3
1297;1;1
1298;0;0
1299;1;1
1300;1;1
1301;1;1
1302;3;3
1303;1;0
1304;3;2
1305;0;0
1306;1;1
1307;1;1
1308;1;1
1309;0;0
1310;1;1
1311;1;1
1312;2;2
1313;3;3
1314;3;3
1315;1;1
1316;1;1
1317;3;3
1318;0;0
1319;1;1
1320;3;3
1321;1;1
1322;1;1
1323;3;3
1324;0;0
1325;1;1
1326;2;2
1327;3;3
1328;0;0
1329;3;3
1330;0;0
1331;1;1
1332;0;0
1333;0;0
1334;0;0
1335;2;2
1336;3;3
1337;0;0
1338;2;2
1339;2;2
1340;0;0
1341;1;1
1342;0;0
1343;2;2
1344;3;3
1345;1;1
1346;0;0
1347;0;0
1348;0;0
1349;2;2
1350;3;3
1351;2;2
1352;3;3
1353;1;1
1354;3;3
1355;2;2
1356;0;0
1357;0;0
1358;2;2
1359;1;1
1360;3;3
1361;1;1
1362;1;1
1363;3;3
1364;1;1
1365;3;3
1366;3;3
1367;2;2
1368;0;0
1369;3;3
1370;1;1
1371;2;2
1372;0;0
1373;3;3
1374;2;3
1375;3;3
1376;0;0
1377;1;1
1378;2;2
1379;0;0
1380;1;1
1381;3;3
1382;3;3
1383;1;1
1384;3;3
1385;3;2
1386;1;1
1387;1;1
1388;2;2
1389;1;1
1390;3;3
1391;1;1
1392;1;1
1393;3;3
1394;2;2
1395;3;3
1396;0;0
1397;1;1
1398;1;1
1399;1;1
1400;1;1
1401;3;3
1402;3;3
1403;0;0
1404;1;1
1405;2;2
1406;1;1
1407;3;3
1408;0;0
1409;1;1
1410;1;1
1411;1;1
1412;1;1
1413;1;1
1414;3;3
1415;2;2
1416;1;1
1417;1;1
1418;1;1
1419;1;1
1420;1;1
1421;3;3
1422;0;0
1423;1;1
1424;1;1
1425;1;1
1426;3;3
1427;1;1
1428;1;1
1429;3;3
1430;1;1
1431;1;1
1432;2;2
1433;0;0
1434;1;1
1435;0;0
1436;0;0
1437;1;1
1438;1;1
1439;3;3
1440;1;1
1441;3;3
1442;3;3
1443;0;0
1444;3;3
1445;1;1
1446;0;0
1447;2;2
1448;1;1
1449;2;2
1450;3;3
1451;2;2
1452;2;2
1453;3;3
1454;3;3
1455;1;1
1456;2;2
1457;1;1
1458;2;2
1459;0;0
1460;1;1
1461;3;3
1462;2;2
1463;1;1
1464;1;1
1465;2;3
1466;3;3
1467;0;0
1468;1;1
1469;1;1
1470;1;1
1471;1;1
1472;3;3
1473;2;2
1474;1;1
1475;3;3
1476;1;1
1477;3;3
1478;1;1
1479;1;1
1480;3;3
1481;3;3
1482;3;3
1483;3;3
1484;1;1
1485;1;1
1486;1;1
1487;1;1
1488;1;1
1489;1;1
1490;3;3
1491;2;2
1492;0;0
1493;3;3
1494;2;2
1495;3;3
1496;1;1
1497;0;0
1498;3;3
1499;3;3
1500;2;2
1501;3;3
1502;1;1
1503;1;1
1504;1;1
1505;2;2
1506;0;0
1507;3;3
1508;3;3
1509;0;0
1510;0;0
1511;3;3
1512;3;3
1513;2;2
1514;1;1
1515;2;2
1516;2;2
1517;3;3
1518;1;0
1519;1;1
1520;1;1
1521;1;1
1522;2;2
1523;1;1
1524;2;2
1525;0;3
1526;1;1
1527;2;2
1528;2;2
1529;1;1
1530;2;2
1531;0;1
1532;1;1
1533;3;3
1534;0;0
1535;1;1
1536;0;0
1537;0;0
1538;1;1
1539;0;0
1540;1;1
1541;1;1
1542;3;3
1543;3;2
1544;3;3
1545;3;3
1546;3;3
1547;0;0
1548;1;1
1549;1;1
1550;1;1
1551;2;2
1552;3;3
1553;0;0
1554;1;1
1555;2;2
1556;1;1
1557;3;3
1558;2;2
1559;0;0
1560;1;1
1561;2;2
1562;0;0
1563;3;3
1564;0;0
1565;1;1
1566;1;1
1567;0;0
1568;0;0
1569;3;3
1570;1;1
1571;1;1
1572;3;3
1573;2;2
1574;1;1
1575;0;0
1576;2;2
1577;3;3
1578;2;2
1579;1;1
1580;2;2
1581;2;2
1582;1;1
1583;0;0
1584;1;1
1585;2;2
1586;3;3
1587;3;3
1588;3;3
1589;2;2
1590;3;3
1591;2;2
1592;3;3
1593;3;3
1594;0;0
1595;0;0
1596;0;0
1597;0;0
1598;1;1
1599;3;3
1600;3;3
1601;0;0
1602;1;1
1603;2;2
1604;1;1
1605;2;2
1606;3;3
1607;3;3
1608;1;1
1609;1;1
1610;1;1
1611;1;1
1612;3;3
1613;0;0
1614;0;0
1615;1;1
1616;0;0
1617;1;1
1618;1;1
1619;1;1
1620;3;3
1621;1;1
1622;0;0
1623;1;1
1624;3;3
1625;3;3
1626;1;1
1627;1;1
1628;2;2
1629;0;0
1630;3;3
1631;3;3
1632;1;1
1633;3;3
1634;0;0
1635;3;3
1636;3;3
1637;1;1
1638;1;1
1639;1;1
1640;3;3
1641;1;1
1642;1;1
1643;1;1
1644;1;1
1645;3;3
1646;0;0
1647;3;3
1648;1;1
1649;0;0
1650;1;0
1651;2;2
1652;0;0
1653;0;0
1654;1;1
1655;0;0
1656;1;1
1657;3;3
1658;1;1
1659;3;3
1660;1;1
1661;1;1
1662;2;2
1663;0;0
1664;2;2
1665;3;3
1666;2;2
1667;0;0
1668;0;0
1669;0;3
1670;1;1
1671;2;2
1672;1;1
1673;0;0
1674;1;1
1675;0;0
1676;2;1
1677;1;1
1678;3;3
1679;1;1
1680;3;2
1681;3;3
1682;2;2
1683;3;3
1684;1;1
1685;0;0
1686;2;2
1687;1;1
1688;1;1
1689;1;1
1690;2;2
1691;0;0
1692;3;3
1693;2;2
1694;3;3
1695;3;3
1696;3;3
1697;0;0
1698;1;1
1699;0;1
1700;1;1
1701;2;2
1702;0;0
1703;1;1
1704;1;1
1705;1;1
1706;3;3
1707;0;0
1708;3;3
1709;1;1
1710;1;1
1711;2;2
1712;3;3
1713;2;2
1714;3;3
1715;3;2
1716;2;2
1717;0;0
1718;2;2
1719;1;1
1720;1;1
1721;2;2
1722;2;2
1723;1;1
1724;0;0
1725;0;0
1726;2;2
1727;1;1
1728;0;0
1729;1;1
1730;1;1
1731;3;3
1732;2;2
1733;1;1
1734;0;0
1735;3;3
1736;3;3
1737;2;3
1738;3;3
1739;0;0
1740;3;3
1741;0;0
1742;1;1
1743;1;2
1744;2;1
1745;0;0
1746;2;2
1747;0;0
1748;0;0
1749;2;2
1750;1;0
1751;3;3
1752;0;0
1753;2;2
1754;1;1
1755;1;2
1756;1;1
1757;2;2
1758;3;3
1759;2;2
1760;3;3
1761;2;2
1762;1;1
1763;3;2
1764;1;1
1765;1;1
1766;1;1
1767;3;3
1768;3;3
1769;1;1
1770;0;0
1771;2;2
1772;3;3
1773;1;1
1774;0;1
1775;1;1
1776;1;1
1777;0;1
1778;3;3
1779;0;0
1780;1;1
1781;2;2
1782;3;3
1783;3;3
1784;2;2
1785;0;0
1786;2;2
1787;2;2
1788;1;1
1789;2;2
1790;1;1
1791;3;3
1792;2;2
1793;3;3
1794;0;1
1795;1;1
1796;1;1
1797;0;0
1798;2;1
1799;3;3
1800;1;1
1801;1;1
1802;2;2
1803;3;3
1804;0;0
1805;2;2
1806;0;0
1807;0;0
1808;1;1
1809;1;1
1810;3;3
1811;3;3
1812;1;1
1813;1;1
1814;2;2
1815;0;0
1816;0;0
1817;2;2
1818;1;1
1819;3;3
1820;3;3
1821;1;1
1822;1;1
1823;3;3
1824;3;3
1825;0;0
1826;1;1
1827;0;0
1828;3;3
1829;1;1
1830;3;3
1831;2;2
1832;0;0
1833;2;2
1834;0;0
1835;3;3
1836;1;1
1837;0;0
1838;1;1
1839;1;1
1840;1;1
1841;0;0
1842;1;1
1843;3;3
1844;0;0
1845;3;3
1846;3;3
1847;3;3
1848;0;0
1849;1;1
1850;2;2
1851;3;3
1852;3;3
1853;1;1
1854;1;1
1855;3;3
1856;3;3
1857;3;3
1858;2;2
1859;0;0
1860;1;1
1861;2;2
1862;1;1
1863;1;1
1864;2;2
1865;0;0
1866;1;1
1867;0;0
1868;0;0
1869;3;3
1870;1;1
1871;3;3
1872;3;3
1873;1;1
1874;0;0
1875;3;3
1876;0;0
1877;1;1
1878;1;1
1879;2;2
1880;0;0
1881;3;3
1882;0;0
1883;1;1
1884;3;3
1885;1;1
1886;0;0
1887;1;1
1888;2;2
1889;1;1
1890;1;1
1891;0;0
1892;0;0
1893;1;1
1894;3;3
1895;2;2
1896;1;1
1897;1;1
1898;3;3
1899;1;1
1900;3;3
1901;1;1
1902;0;0
1903;0;0
1904;1;1
1905;2;3
1906;0;0
1907;0;0
1908;3;3
1909;1;1
1910;3;3
1911;3;3
1912;0;0
1913;3;3
1914;3;3
1915;2;2
1916;3;0
1917;0;0
1918;0;0
1919;3;3
1920;1;1
1921;3;3
1922;3;3
