;True;Predicted
0;3;3
1;1;1
2;2;2
3;1;1
4;2;2
5;1;1
6;1;1
7;1;1
8;1;1
9;1;1
10;1;1
11;3;3
12;1;1
13;1;1
14;3;3
15;1;1
16;2;2
17;0;0
18;0;0
19;3;2
20;1;2
21;3;3
22;2;2
23;1;1
24;1;1
25;1;1
26;3;3
27;3;3
28;2;2
29;2;2
30;0;0
31;0;0
32;0;0
33;3;3
34;0;0
35;1;1
36;3;3
37;1;1
38;2;2
39;1;1
40;3;3
41;0;0
42;3;3
43;1;1
44;1;1
45;3;3
46;2;2
47;1;1
48;1;1
49;1;1
50;2;2
51;0;0
52;2;3
53;1;1
54;0;0
55;3;2
56;3;3
57;3;3
58;2;2
59;3;3
60;3;3
61;1;1
62;0;0
63;3;3
64;1;1
65;2;2
66;3;3
67;1;1
68;3;3
69;3;3
70;3;3
71;0;0
72;1;1
73;1;1
74;1;1
75;0;0
76;2;2
77;2;2
78;3;3
79;3;3
80;0;0
81;1;1
82;1;1
83;2;1
84;1;1
85;0;0
86;1;1
87;2;2
88;1;1
89;3;3
90;3;3
91;1;1
92;2;2
93;3;3
94;1;1
95;2;2
96;3;3
97;1;1
98;2;2
99;2;1
100;1;1
101;2;2
102;2;2
103;3;2
104;2;2
105;3;3
106;1;1
107;2;2
108;3;3
109;3;3
110;1;1
111;1;1
112;3;3
113;1;1
114;0;0
115;3;3
116;2;1
117;3;3
118;2;1
119;1;1
120;1;1
121;1;1
122;1;1
123;2;2
124;3;3
125;1;1
126;1;1
127;2;1
128;0;0
129;1;1
130;2;2
131;0;0
132;2;3
133;2;2
134;1;1
135;2;2
136;1;1
137;3;3
138;3;3
139;3;3
140;3;3
141;1;1
142;2;2
143;1;1
144;0;0
145;0;0
146;1;1
147;3;3
148;1;1
149;1;1
150;3;3
151;1;1
152;0;0
153;2;2
154;3;3
155;3;3
156;3;3
157;0;0
158;3;3
159;2;2
160;1;1
161;0;0
162;3;3
163;3;3
164;1;1
165;3;3
166;1;1
167;1;1
168;3;3
169;3;3
170;3;3
171;1;1
172;0;0
173;2;2
174;0;0
175;3;3
176;1;1
177;0;0
178;3;3
179;1;1
180;1;1
181;1;1
182;1;1
183;2;2
184;0;0
185;0;0
186;3;3
187;3;3
188;0;0
189;1;1
190;1;1
191;1;1
192;1;1
193;0;0
194;1;1
195;3;3
196;2;2
197;1;1
198;2;2
199;3;3
200;3;2
201;1;1
202;2;2
203;3;3
204;1;1
205;3;3
206;2;2
207;3;3
208;2;2
209;1;1
210;3;3
211;0;0
212;3;3
213;1;1
214;1;1
215;3;3
216;3;3
217;1;1
218;1;1
219;0;0
220;2;2
221;3;3
222;3;3
223;1;1
224;1;1
225;0;0
226;0;0
227;0;0
228;1;1
229;1;1
230;1;1
231;1;1
232;3;3
233;1;1
234;1;1
235;2;2
236;2;3
237;1;1
238;3;3
239;1;1
240;3;3
241;3;3
242;1;1
243;2;2
244;1;1
245;1;1
246;3;2
247;2;2
248;0;0
249;2;2
250;3;3
251;3;2
252;3;3
253;3;3
254;1;1
255;2;2
256;3;3
257;0;0
258;1;1
259;1;1
260;1;1
261;1;1
262;1;1
263;3;3
264;0;0
265;3;3
266;2;2
267;2;2
268;0;0
269;1;1
270;3;3
271;3;3
272;0;3
273;1;1
274;3;3
275;2;2
276;3;3
277;1;1
278;2;2
279;1;1
280;1;1
281;1;1
282;0;0
283;3;3
284;1;1
285;0;0
286;3;3
287;0;0
288;1;1
289;0;0
290;2;2
291;1;1
292;1;1
293;3;3
294;1;3
295;1;1
296;3;3
297;1;1
298;2;2
299;1;1
300;2;2
301;1;1
302;1;1
303;1;1
304;1;1
305;3;3
306;3;3
307;2;1
308;1;1
309;3;3
310;1;1
311;1;1
312;1;1
313;0;0
314;3;3
315;2;2
316;0;0
317;2;2
318;3;3
319;2;2
320;2;2
321;1;1
322;3;3
323;3;3
324;1;1
325;2;1
326;0;0
327;1;1
328;2;2
329;2;2
330;0;0
331;0;0
332;2;2
333;3;3
334;1;1
335;2;2
336;1;1
337;1;1
338;1;1
339;0;0
340;3;3
341;1;1
342;0;0
343;3;3
344;1;1
345;3;3
346;2;2
347;3;3
348;1;1
349;3;3
350;0;0
351;1;1
352;1;1
353;0;0
354;1;1
355;1;1
356;1;1
357;0;0
358;0;0
359;1;1
360;3;3
361;1;1
362;0;3
363;0;0
364;0;0
365;0;0
366;2;2
367;2;2
368;1;1
369;3;3
370;2;2
371;1;1
372;3;0
373;3;3
374;1;1
375;1;2
376;3;3
377;3;1
378;3;3
379;0;0
380;3;3
381;2;2
382;1;1
383;0;0
384;3;3
385;2;2
386;0;0
387;2;2
388;0;0
389;2;2
390;2;2
391;1;1
392;1;1
393;1;1
394;3;3
395;3;3
396;1;1
397;1;1
398;0;0
399;2;2
400;3;3
401;1;1
402;3;3
403;3;3
404;1;1
405;3;3
406;3;3
407;3;3
408;3;3
409;1;1
410;1;1
411;2;2
412;3;3
413;0;1
414;3;3
415;3;3
416;1;1
417;3;3
418;1;1
419;0;0
420;0;0
421;2;2
422;3;3
423;0;1
424;0;0
425;0;0
426;0;0
427;3;3
428;1;1
429;0;0
430;1;1
431;1;1
432;1;1
433;3;3
434;1;1
435;1;1
436;3;3
437;1;1
438;1;1
439;0;0
440;1;1
441;2;2
442;0;0
443;1;1
444;2;2
445;3;3
446;0;0
447;2;2
448;1;1
449;0;0
450;3;3
451;1;1
452;3;3
453;2;3
454;2;2
455;1;1
456;2;2
457;3;3
458;3;3
459;3;3
460;3;3
461;3;3
462;1;1
463;0;0
464;3;3
465;2;2
466;1;1
467;1;1
468;1;3
469;0;0
470;3;3
471;1;1
472;1;1
473;2;3
474;3;3
475;0;0
476;1;1
477;3;3
478;1;1
479;3;3
480;0;0
481;0;0
482;3;3
483;3;3
484;3;3
485;3;3
486;3;3
487;1;1
488;2;2
489;3;3
490;2;2
491;3;3
492;0;0
493;1;1
494;3;3
495;2;1
496;1;1
497;1;1
498;1;1
499;0;0
500;1;1
501;1;1
502;0;0
503;3;3
504;3;3
505;0;0
506;1;1
507;3;3
508;2;2
509;3;3
510;3;3
511;1;1
512;1;1
513;0;3
514;0;0
515;1;1
516;1;1
517;2;2
518;1;2
519;1;1
520;3;3
521;0;0
522;0;0
523;3;3
524;0;0
525;2;2
526;1;1
527;1;1
528;3;3
529;1;1
530;2;2
531;3;3
532;1;1
533;0;0
534;1;1
535;0;0
536;1;1
537;3;1
538;0;0
539;1;1
540;1;1
541;1;1
542;3;3
543;3;3
544;2;2
545;0;0
546;2;2
547;1;1
548;3;3
549;1;1
550;3;2
551;1;1
552;2;2
553;1;1
554;1;1
555;2;3
556;0;0
557;0;0
558;3;2
559;3;3
560;3;3
561;1;1
562;1;1
563;1;1
564;1;1
565;2;2
566;3;3
567;1;1
568;1;1
569;3;3
570;1;1
571;1;1
572;3;3
573;3;2
574;1;1
575;1;1
576;2;2
577;0;0
578;3;3
579;3;3
580;2;2
581;3;2
582;2;2
583;1;1
584;0;1
585;1;1
586;3;3
587;3;3
588;2;2
589;3;3
590;3;3
591;3;3
592;1;1
593;2;2
594;2;2
595;1;1
596;1;1
597;2;2
598;1;2
599;1;1
600;0;0
601;3;0
602;3;3
603;3;3
604;2;1
605;1;1
606;2;2
607;1;1
608;1;1
609;0;0
610;1;1
611;1;1
612;1;0
613;3;3
614;2;2
615;1;2
616;0;0
617;0;1
618;0;0
619;3;3
620;1;1
621;2;2
622;3;3
623;1;1
624;2;2
625;1;1
626;0;0
627;3;3
628;3;3
629;1;1
630;3;3
631;3;3
632;0;0
633;1;1
634;1;1
635;0;0
636;2;2
637;1;1
638;2;2
639;1;1
640;1;1
641;3;3
642;1;1
643;2;2
644;3;3
645;3;1
646;1;1
647;1;1
648;3;3
649;1;1
650;3;3
651;3;1
652;2;1
653;1;1
654;3;3
655;1;1
656;1;1
657;0;0
658;2;2
659;2;3
660;0;0
661;1;1
662;1;1
663;3;3
664;3;3
665;2;2
666;3;3
667;3;3
668;1;1
669;1;1
670;1;1
671;2;2
672;3;3
673;1;1
674;1;1
675;0;0
676;3;3
677;0;0
678;0;0
679;2;2
680;3;3
681;2;1
682;1;1
683;3;3
684;3;3
685;3;3
686;3;3
687;0;1
688;3;3
689;3;3
690;3;3
691;0;0
692;3;3
693;1;1
694;0;0
695;0;0
696;3;3
697;1;2
698;3;3
699;3;3
700;2;2
701;1;1
702;1;1
703;1;1
704;3;3
705;2;2
706;1;1
707;3;3
708;2;2
709;1;2
710;0;0
711;0;0
712;0;0
713;0;0
714;2;1
715;3;3
716;1;1
717;2;2
718;1;1
719;0;0
720;0;0
721;1;1
722;1;1
723;1;1
724;2;2
725;1;1
726;2;2
727;3;3
728;1;1
729;1;1
730;3;3
731;0;0
732;0;0
733;3;3
734;3;3
735;2;2
736;0;0
737;2;2
738;3;3
739;1;1
740;1;1
741;2;2
742;1;1
743;3;3
744;2;2
745;1;1
746;3;3
747;0;0
748;1;1
749;3;3
750;2;2
751;1;1
752;1;1
753;0;0
754;1;1
755;1;1
756;1;1
757;1;1
758;3;3
759;1;1
760;1;1
761;0;0
762;1;1
763;1;1
764;1;2
765;2;2
766;0;0
767;0;0
768;1;1
769;1;1
770;2;2
771;3;3
772;0;0
773;1;1
774;2;2
775;1;1
776;0;0
777;3;3
778;1;1
779;0;0
780;3;2
781;1;1
782;3;3
783;0;0
784;3;3
785;2;2
786;1;0
787;1;1
788;3;3
789;3;3
790;3;3
791;3;3
792;0;0
793;3;3
794;1;1
795;1;1
796;0;0
797;1;1
798;1;0
799;2;2
800;1;1
801;1;1
802;2;2
803;0;0
804;2;3
805;3;3
806;2;1
807;3;3
808;1;1
809;1;1
810;2;2
811;3;3
812;3;3
813;0;0
814;3;3
815;1;1
816;0;0
817;1;1
818;3;3
819;0;0
820;2;2
821;1;1
822;2;2
823;1;1
824;1;1
825;2;2
826;3;3
827;0;0
828;2;2
829;0;0
830;2;2
831;0;0
832;0;1
833;1;1
834;2;2
835;1;1
836;3;3
837;1;0
838;2;2
839;1;1
840;3;3
841;3;3
842;0;0
843;3;3
844;0;0
845;0;0
846;1;1
847;2;1
848;0;0
849;3;3
850;1;1
851;2;2
852;1;2
853;2;2
854;0;0
855;1;1
856;3;3
857;1;1
858;1;1
859;3;3
860;3;3
861;2;2
862;2;2
863;3;3
864;1;1
865;1;1
866;1;1
867;2;2
868;0;0
869;0;0
870;2;2
871;3;3
872;2;2
873;0;0
874;3;3
875;1;1
876;0;0
877;3;3
878;0;0
879;1;1
880;2;2
881;1;1
882;1;1
883;2;2
884;2;2
885;3;3
886;3;1
887;2;2
888;3;3
889;3;1
890;1;1
891;3;3
892;3;3
893;2;2
894;2;2
895;3;3
896;1;1
897;1;1
898;1;1
899;3;3
900;1;1
901;3;3
902;0;0
903;2;2
904;1;2
905;1;1
906;2;2
907;3;3
908;2;2
909;1;1
910;0;1
911;1;1
912;0;0
913;3;3
914;1;1
915;0;0
916;1;1
917;1;1
918;1;1
919;1;1
920;0;0
921;2;2
922;3;3
923;3;3
924;2;2
925;3;3
926;2;2
927;1;1
928;0;0
929;1;1
930;3;3
931;1;1
932;3;3
933;1;0
934;1;2
935;1;1
936;1;1
937;3;3
938;1;1
939;0;0
940;1;1
941;1;0
942;1;1
943;1;1
944;1;1
945;1;1
946;0;0
947;1;1
948;1;1
949;1;1
950;1;1
951;2;2
952;2;2
953;3;3
954;1;1
955;3;3
956;0;0
957;1;1
958;2;2
959;2;2
960;3;3
961;2;2
962;0;0
963;1;1
964;3;3
965;3;3
966;2;2
967;0;0
968;2;2
969;0;0
970;0;0
971;3;3
972;3;3
973;2;2
974;0;0
975;3;3
976;2;2
977;3;3
978;1;1
979;2;2
980;3;3
981;1;1
982;3;3
983;1;1
984;1;1
985;2;2
986;1;1
987;3;3
988;1;1
989;3;3
990;3;3
991;1;1
992;0;0
993;0;0
994;1;1
995;0;0
996;1;1
997;0;1
998;3;3
999;1;1
1000;1;1
1001;1;1
1002;1;1
1003;1;1
1004;1;1
1005;1;1
1006;0;0
1007;2;3
1008;2;1
1009;0;0
1010;1;2
1011;3;3
1012;2;2
1013;1;1
1014;1;1
1015;3;3
1016;1;1
1017;3;3
1018;2;2
1019;3;3
1020;3;3
1021;0;0
1022;0;0
1023;1;1
1024;2;2
1025;1;1
1026;0;1
1027;0;0
1028;2;2
1029;3;3
1030;3;3
1031;3;3
1032;0;0
1033;2;2
1034;0;0
1035;1;1
1036;3;3
1037;3;1
1038;3;3
1039;0;0
1040;1;1
1041;2;2
1042;3;3
1043;2;1
1044;1;1
1045;0;1
1046;3;3
1047;0;0
1048;2;2
1049;2;2
1050;1;1
1051;1;2
1052;0;0
1053;3;3
1054;1;2
1055;1;1
1056;0;0
1057;2;3
1058;1;1
1059;3;3
1060;1;1
1061;1;1
1062;3;3
1063;3;3
1064;3;3
1065;0;0
1066;1;1
1067;0;0
1068;3;3
1069;0;0
1070;0;0
1071;1;1
1072;3;3
1073;0;0
1074;0;0
1075;1;1
1076;3;3
1077;0;0
1078;2;2
1079;1;1
1080;3;2
1081;1;1
1082;0;0
1083;2;2
1084;1;1
1085;1;1
1086;1;1
1087;0;0
1088;3;3
1089;3;3
1090;2;2
1091;1;1
1092;1;1
1093;1;1
1094;1;1
1095;2;3
1096;3;3
1097;1;1
1098;3;3
1099;3;3
1100;1;1
1101;1;1
1102;1;1
1103;0;0
1104;3;3
1105;0;0
1106;3;3
1107;1;1
1108;3;3
1109;3;3
1110;1;1
1111;1;1
1112;2;2
1113;1;1
1114;0;0
1115;2;2
1116;1;1
1117;3;3
1118;1;1
1119;3;2
1120;0;0
1121;1;1
1122;2;2
1123;3;3
1124;2;2
1125;3;3
1126;0;0
1127;3;2
1128;0;0
1129;2;2
1130;3;3
1131;1;1
1132;2;3
1133;1;1
1134;3;3
1135;3;3
1136;2;2
1137;3;3
1138;3;3
1139;2;2
1140;0;0
1141;3;3
1142;3;3
1143;1;1
1144;0;0
1145;3;3
1146;3;3
1147;1;1
1148;1;1
1149;0;0
1150;1;1
1151;0;0
1152;1;1
1153;1;0
1154;0;0
1155;3;3
1156;1;1
1157;1;1
1158;2;2
1159;1;1
1160;2;2
1161;1;1
1162;1;1
1163;0;0
1164;1;1
1165;1;1
1166;0;0
1167;0;0
1168;1;0
1169;2;2
1170;1;1
1171;1;1
1172;1;1
1173;1;1
1174;3;3
1175;2;2
1176;1;1
1177;1;1
1178;2;2
1179;1;1
1180;3;3
1181;1;1
1182;2;2
1183;1;1
1184;0;0
1185;0;0
1186;3;3
1187;3;3
1188;3;3
1189;3;3
1190;2;2
1191;1;1
1192;3;3
1193;2;2
1194;1;1
1195;2;2
1196;3;3
1197;1;1
1198;3;3
1199;1;1
1200;1;1
1201;1;1
1202;1;1
1203;1;1
1204;1;1
1205;3;3
1206;1;0
1207;0;0
1208;2;2
1209;1;1
1210;1;1
1211;3;3
1212;3;3
1213;1;1
1214;2;2
1215;1;1
1216;0;0
1217;1;0
1218;3;3
1219;1;1
1220;1;1
1221;1;1
1222;1;2
1223;2;2
1224;3;2
1225;0;0
1226;2;2
1227;0;0
1228;1;1
1229;1;1
1230;3;3
1231;3;3
1232;1;1
1233;0;1
1234;1;2
1235;0;0
1236;1;1
1237;0;0
1238;0;0
1239;0;1
1240;3;3
1241;1;1
1242;3;3
1243;1;1
1244;2;2
1245;3;3
1246;3;3
1247;1;1
1248;3;3
1249;1;1
1250;0;0
1251;1;1
1252;1;1
1253;1;1
1254;0;1
1255;2;2
1256;1;1
1257;2;2
1258;1;1
1259;2;1
1260;2;2
1261;1;1
1262;2;2
1263;1;1
1264;0;0
1265;1;1
1266;0;0
1267;2;2
1268;3;3
1269;2;2
1270;0;0
1271;0;0
1272;2;2
1273;1;1
1274;3;3
1275;3;3
1276;0;0
1277;1;1
1278;3;2
1279;2;2
1280;3;3
1281;0;3
1282;2;2
1283;0;0
1284;3;3
1285;3;3
1286;0;0
1287;0;0
1288;3;3
1289;3;3
1290;1;0
1291;3;3
1292;2;2
1293;1;1
1294;1;1
1295;2;2
1296;2;2
1297;2;2
1298;2;2
1299;3;3
1300;0;0
1301;2;2
1302;3;3
1303;3;3
1304;1;1
1305;1;1
1306;3;3
1307;1;1
1308;3;3
1309;2;2
1310;3;0
1311;0;0
1312;1;1
1313;0;0
1314;2;2
1315;3;3
1316;3;3
1317;0;0
1318;3;3
1319;3;3
1320;1;1
1321;1;1
1322;3;3
1323;1;1
1324;1;1
1325;1;1
1326;3;3
1327;1;1
1328;0;0
1329;2;2
1330;2;2
1331;1;1
1332;1;1
1333;0;0
1334;1;1
1335;1;1
1336;1;2
1337;1;1
1338;2;1
1339;1;1
1340;2;2
1341;1;1
1342;0;0
1343;3;3
1344;1;1
1345;3;3
1346;1;1
1347;3;3
1348;1;1
1349;1;1
1350;3;3
1351;0;0
1352;1;1
1353;2;2
1354;0;0
1355;1;1
1356;0;0
1357;3;3
1358;3;3
1359;3;3
1360;1;1
1361;0;0
1362;0;0
1363;0;0
1364;2;2
1365;3;3
1366;2;2
1367;3;3
1368;1;1
1369;1;1
1370;3;3
1371;0;0
1372;1;1
1373;2;2
1374;2;1
1375;0;0
1376;1;1
1377;0;0
1378;1;1
1379;3;3
1380;3;3
1381;1;1
1382;1;1
1383;0;0
1384;2;2
1385;3;3
1386;2;2
1387;1;1
1388;1;1
1389;0;0
1390;3;3
1391;3;3
1392;0;0
1393;1;1
1394;0;0
1395;2;2
1396;0;0
1397;1;0
1398;2;2
1399;3;3
1400;3;3
1401;2;2
1402;3;2
1403;1;1
1404;3;3
1405;3;3
1406;2;2
1407;1;1
1408;2;2
1409;1;1
1410;0;0
1411;3;0
1412;1;1
1413;2;2
1414;0;0
1415;1;1
1416;0;0
1417;2;2
1418;1;1
1419;1;1
1420;1;1
1421;2;2
1422;3;3
1423;3;3
1424;3;3
1425;0;0
1426;3;3
1427;3;3
1428;3;3
1429;2;2
1430;2;2
1431;3;3
1432;3;2
1433;1;1
1434;2;2
1435;1;1
1436;3;3
1437;2;2
1438;3;3
1439;2;2
1440;3;2
1441;1;1
1442;1;1
1443;3;3
1444;3;3
1445;1;1
1446;3;3
1447;1;1
1448;1;1
1449;0;0
1450;3;3
1451;2;2
1452;3;3
1453;2;2
1454;3;3
1455;1;1
1456;3;2
1457;3;3
1458;3;3
1459;1;1
1460;3;3
1461;3;3
1462;3;3
1463;3;3
1464;3;3
1465;2;2
1466;2;1
1467;3;3
1468;2;2
1469;3;3
1470;1;1
1471;0;0
1472;1;1
1473;1;2
1474;2;2
1475;1;1
1476;1;1
1477;3;3
1478;0;0
1479;0;0
1480;0;0
1481;0;0
1482;3;3
1483;3;3
1484;3;3
1485;3;3
1486;3;3
1487;3;3
1488;2;2
1489;3;3
1490;1;1
1491;2;2
1492;1;1
1493;3;3
1494;1;1
1495;2;2
1496;1;1
1497;2;2
1498;2;2
1499;2;2
1500;0;0
1501;1;1
1502;3;3
1503;1;1
1504;1;2
1505;1;1
1506;2;2
1507;3;3
1508;2;1
1509;0;0
1510;1;1
1511;1;1
1512;3;3
1513;3;3
1514;2;2
1515;1;1
1516;3;3
1517;1;1
1518;3;3
1519;0;0
1520;3;3
1521;3;3
1522;3;3
1523;0;0
1524;0;0
1525;1;0
1526;1;1
1527;0;0
1528;3;3
1529;1;2
1530;1;1
1531;1;1
1532;3;3
1533;2;2
1534;3;3
1535;3;3
1536;0;0
1537;2;2
1538;0;0
1539;3;3
1540;3;3
1541;2;2
1542;3;3
1543;0;0
1544;1;1
1545;3;3
1546;1;1
1547;1;1
1548;1;1
1549;2;2
1550;2;2
1551;1;1
1552;3;3
1553;1;1
1554;2;1
1555;3;3
1556;3;3
1557;0;0
1558;1;1
1559;0;0
1560;3;3
1561;3;3
1562;1;1
1563;3;3
1564;3;3
1565;3;3
1566;3;3
1567;0;1
1568;1;1
1569;3;2
1570;1;1
1571;1;2
1572;3;3
1573;0;0
1574;1;1
1575;0;0
1576;1;1
1577;1;1
1578;3;3
1579;3;3
1580;2;2
1581;2;2
1582;2;2
1583;1;1
1584;1;1
1585;3;3
1586;3;3
1587;3;3
1588;1;1
1589;1;1
1590;1;1
1591;0;0
1592;1;2
1593;3;3
1594;0;0
1595;3;3
1596;1;1
1597;3;3
1598;2;2
1599;1;1
1600;3;3
1601;1;1
1602;2;2
1603;3;3
1604;2;2
1605;3;3
1606;1;1
1607;3;3
1608;1;1
1609;1;1
1610;2;2
1611;2;2
1612;3;3
1613;3;3
1614;3;3
1615;3;1
1616;1;1
1617;2;2
1618;2;2
1619;1;1
1620;1;1
1621;1;1
1622;2;2
1623;1;1
1624;0;0
1625;1;1
1626;3;3
1627;3;3
1628;3;3
1629;1;1
1630;1;1
1631;1;1
1632;1;1
1633;0;0
1634;2;2
1635;1;1
1636;3;3
1637;1;1
1638;3;3
1639;3;3
1640;1;1
1641;1;1
1642;3;3
1643;3;3
1644;1;1
1645;1;1
1646;0;1
1647;3;3
1648;0;0
1649;1;1
1650;1;1
1651;1;0
1652;0;0
1653;2;2
1654;0;0
1655;3;3
1656;3;3
1657;3;3
1658;3;3
1659;0;0
1660;3;3
1661;0;0
1662;2;2
1663;1;1
1664;3;3
1665;0;0
1666;3;3
1667;3;3
1668;2;2
1669;1;1
1670;2;2
1671;0;0
1672;0;0
1673;1;1
1674;1;1
1675;0;0
1676;2;2
1677;0;0
1678;3;3
1679;3;3
1680;1;1
1681;3;3
1682;3;3
1683;0;0
1684;1;1
1685;0;0
1686;3;3
1687;1;0
1688;2;3
1689;0;0
1690;3;3
1691;1;1
1692;0;0
1693;3;3
1694;1;1
1695;3;3
1696;2;2
1697;1;1
1698;1;1
1699;0;0
1700;3;3
1701;3;3
1702;3;3
1703;3;3
1704;1;1
1705;3;3
1706;0;0
1707;3;3
1708;3;3
1709;0;0
1710;2;2
1711;1;1
1712;1;1
1713;3;3
1714;3;3
1715;3;3
1716;1;1
1717;0;0
1718;2;2
1719;3;3
1720;3;3
1721;0;0
1722;3;3
1723;3;3
1724;3;3
1725;1;1
1726;1;1
1727;1;1
1728;1;1
1729;2;2
1730;3;3
1731;1;1
1732;0;0
1733;2;2
1734;3;3
1735;3;3
1736;1;1
1737;1;1
1738;3;3
1739;0;0
1740;2;2
1741;2;2
1742;3;3
1743;1;1
1744;3;3
1745;3;3
1746;1;1
1747;3;3
1748;2;2
1749;3;3
1750;1;1
1751;0;0
1752;2;2
1753;1;1
1754;1;1
1755;1;1
1756;3;3
1757;3;3
1758;1;1
1759;3;3
1760;0;0
1761;2;2
1762;1;1
1763;0;0
1764;0;0
1765;1;1
1766;2;2
1767;0;0
1768;2;2
1769;3;3
1770;1;1
1771;3;3
1772;3;3
1773;1;1
1774;1;1
1775;1;1
1776;2;2
1777;3;3
1778;2;3
1779;3;3
1780;2;2
1781;3;3
1782;3;3
1783;2;1
1784;2;2
1785;3;3
1786;0;0
1787;1;0
1788;0;1
1789;2;2
1790;0;0
1791;3;3
1792;1;1
1793;1;1
1794;1;1
1795;3;3
1796;3;3
1797;3;3
1798;1;1
1799;3;3
1800;1;1
1801;2;2
1802;0;0
1803;2;2
1804;2;2
1805;1;1
1806;3;3
1807;3;3
1808;2;1
1809;3;3
1810;0;0
1811;1;1
1812;1;1
1813;0;0
1814;3;3
1815;1;1
1816;3;3
1817;1;1
1818;1;1
1819;2;3
1820;1;1
1821;1;1
1822;0;0
1823;2;2
1824;0;0
1825;3;3
1826;3;3
1827;2;2
1828;3;3
1829;3;3
1830;3;3
1831;3;1
1832;3;3
1833;3;3
1834;0;0
1835;2;2
1836;2;2
1837;3;3
1838;1;1
1839;3;3
1840;1;1
1841;2;2
1842;0;0
1843;0;0
1844;3;3
1845;1;1
1846;2;2
1847;0;0
1848;1;1
1849;1;1
1850;3;3
1851;1;1
1852;3;3
1853;3;3
1854;3;3
1855;1;1
1856;2;2
1857;1;1
1858;0;0
1859;1;1
1860;2;2
1861;1;1
1862;3;3
1863;1;1
1864;1;1
1865;3;3
1866;1;1
1867;0;0
1868;3;3
1869;3;3
1870;0;0
1871;1;1
1872;2;2
1873;3;3
1874;3;3
1875;3;3
1876;3;3
1877;3;3
1878;2;2
1879;2;2
1880;2;2
1881;1;0
1882;1;1
1883;3;3
1884;0;0
1885;0;0
1886;0;0
1887;3;3
1888;0;0
1889;1;1
1890;0;0
1891;3;3
1892;1;2
1893;1;1
1894;1;1
1895;1;1
1896;1;1
1897;1;1
1898;1;1
1899;2;2
1900;1;1
1901;1;1
1902;3;3
1903;2;2
1904;1;1
1905;3;2
1906;3;3
1907;2;2
1908;3;3
1909;0;0
1910;3;3
1911;3;3
1912;2;2
1913;3;3
1914;1;1
1915;1;1
1916;0;0
1917;1;1
1918;0;0
1919;0;0
1920;3;3
1921;0;0
1922;1;1
